mold_temp,barrel_temp,injection_pressure,holding_pressure,cycle_time,quality
80.18,203.01,97.85,81.06,28.8,0
79.26,206.37,83.34,67.33,30.47,0
76.49,235.01,99.81,83.02,31.1,0
89.96,253.74,118.22,95.86,34.68,1
78.99,229.15,121.67,101.73,30.56,1
77.86,230.95,97.52,91.52,33.28,0
80.04,222.93,100.91,92.03,33.35,0
79.21,215.89,97.09,78.23,28.59,0
81.94,229.31,104.24,91.58,29.36,0
80.9,221.2,100.47,67.81,30.88,0
80.55,230.22,103.91,91.55,30.83,0
84.36,212.48,101.2,87.02,30.84,0
82.37,212.81,95.41,75.56,30.25,0
81.71,218.98,92.61,84.18,30.78,0
77.22,225.11,107.51,79.62,30.32,0
78.3,230.83,112.03,85.67,28.67,0
72.14,216.23,119.57,85.46,33.28,0
79.12,225.04,97.19,78.29,33.83,0
78.45,218.72,110.76,89.35,26.71,0
80.39,215.38,92.84,86.8,29.55,0
80.52,221.47,99.57,81.49,29.55,0
75.16,213.11,99.23,85.18,28.49,0
76.43,228.47,107.39,79.68,31.14,0
87.92,240.52,121.46,93.09,35.89,1
78.58,224.01,106.67,79.8,28.12,0
82.06,220.62,120.48,83.19,29.65,0
84.07,218.82,115.01,94.36,30.03,0
80.17,215.76,113.32,88.4,30.38,0
78.49,211.98,95.91,85.19,34.88,0
81.95,221.63,108.43,97.14,31.68,0
81.97,205.93,98.52,68.55,33.26,0
80.73,232.69,109.34,98.39,31.46,0
76.34,220.94,82.31,83.94,30.73,0
78.2,226.5,85.03,87.87,28.75,0
75.18,207.73,95.8,69.99,31.27,0
93.98,230.62,102.46,95.66,33.9,1
75.44,213.89,91.35,77.1,30.3,0
77.33,223.07,101.69,86.29,30.66,0
78.84,224.76,96.18,67.87,30.84,0
75.61,216.79,86.76,80.37,29.44,0
81.55,244.63,95.11,77.44,27.79,0
78.04,212.18,103.67,89.38,29.71,0
80.51,228.79,96.68,75.56,32.37,0
81.54,213.38,108.75,73.46,31.71,0
76.4,215.39,104.48,75.6,30.13,0
77.65,211.46,91.12,67.8,28.65,0
76.55,227.2,83.7,92.4,31.23,0
79.93,243.63,108.0,81.49,33.74,1
83.92,211.0,90.97,82.82,30.62,0
81.07,217.8,85.27,90.54,30.27,0
81.49,231.53,106.69,78.51,29.3,0
78.68,228.05,110.05,92.01,27.27,0
90.71,260.89,120.47,91.81,32.46,1
75.75,220.2,97.31,77.54,30.36,0
82.32,212.77,100.24,82.77,30.34,0
78.55,205.56,108.43,71.04,29.33,0
77.55,219.74,99.23,83.4,31.67,0
80.02,220.78,89.68,85.16,28.02,0
80.63,230.22,101.88,82.31,34.81,0
79.44,212.82,92.62,73.61,32.75,0
80.75,236.49,97.11,85.14,28.89,0
73.92,215.26,94.18,85.22,27.87,0
83.25,207.88,95.0,96.6,31.42,0
81.51,218.09,103.04,83.95,29.86,0
78.6,225.3,98.75,91.27,29.93,0
84.65,217.94,112.02,106.7,41.25,1
75.71,216.92,96.17,76.58,31.87,0
81.13,222.46,91.94,72.01,27.89,0
80.25,227.05,105.6,71.82,30.64,0
79.3,212.15,80.23,88.25,30.76,0
84.21,209.44,99.74,68.42,30.24,0
79.96,225.98,102.62,71.02,31.74,0
75.87,233.16,104.14,93.89,28.43,0
83.48,217.84,94.37,86.73,28.84,0
91.56,228.96,88.75,83.39,25.69,0
87.21,237.22,91.4,72.39,36.73,1
82.44,220.96,107.49,79.64,28.33,0
76.68,220.61,106.96,68.97,29.7,0
84.65,224.98,93.78,71.44,32.5,0
80.3,219.08,78.79,81.95,27.19,0
87.14,222.44,118.69,88.62,30.79,1
78.59,220.56,102.97,80.66,29.48,0
81.08,213.42,105.23,100.22,28.02,0
79.24,214.79,96.52,87.97,31.9,0
82.44,227.8,103.31,79.73,29.65,0
75.56,230.44,101.45,91.36,33.27,0
88.92,225.96,121.09,90.21,31.25,1
85.6,212.28,102.61,74.59,33.36,0
82.22,218.26,102.71,75.01,32.21,0
75.79,234.65,95.65,62.41,31.09,0
75.04,238.59,126.13,83.49,35.59,1
77.68,214.83,103.95,80.3,31.84,0
80.7,227.77,104.93,85.67,35.16,0
75.73,226.8,97.39,73.86,29.72,0
79.82,206.71,95.87,83.82,30.01,0
74.24,213.28,114.79,88.59,30.21,0
81.07,231.8,103.77,84.06,34.58,0
81.54,222.49,93.96,76.13,31.02,0
82.86,207.15,92.19,79.81,29.99,0
80.59,218.38,109.15,75.75,32.1,0
77.62,222.16,101.42,75.0,30.11,0
96.56,241.44,124.79,77.76,43.23,1
81.33,222.08,100.23,76.26,29.22,0
76.57,215.39,108.11,75.72,29.38,0
74.83,237.06,102.7,76.44,31.47,0
83.17,217.52,93.2,83.77,28.49,0
78.82,225.52,91.9,81.53,28.49,0
76.93,210.31,96.3,69.74,32.38,0
76.77,218.48,114.17,68.29,29.98,0
91.8,227.73,140.98,77.03,33.06,1
81.68,201.58,89.76,81.58,29.7,0
82.36,203.69,108.39,74.55,29.59,0
79.1,226.51,118.17,89.51,27.71,0
79.29,211.35,101.48,80.96,29.42,0
82.35,214.01,105.7,88.94,29.74,0
78.66,235.72,101.57,91.19,32.18,0
86.94,219.94,95.39,77.94,28.66,0
82.75,224.35,101.66,57.21,32.44,0
84.57,220.08,111.53,81.57,34.15,0
81.21,213.86,97.82,82.23,31.88,0
81.84,236.74,102.67,94.37,30.91,0
81.42,220.38,97.03,79.21,31.79,0
79.59,208.51,90.96,76.48,29.3,0
80.21,215.2,83.41,86.98,28.61,0
77.59,227.67,87.97,92.62,26.86,0
74.71,218.96,93.15,85.06,30.66,0
79.34,222.49,93.68,86.56,25.0,0
77.19,218.01,94.19,81.58,27.34,0
82.47,219.83,106.64,81.33,30.3,0
82.91,232.26,112.24,76.85,30.56,0
77.97,213.45,103.83,92.38,33.23,0
79.66,219.6,89.32,83.17,31.06,0
74.26,210.1,102.04,77.1,30.1,0
78.41,222.58,100.45,89.65,31.19,0
82.47,233.03,89.76,76.38,30.07,0
95.36,246.95,112.99,84.19,39.17,1
77.24,216.4,88.74,94.77,29.41,0
83.33,223.34,101.76,93.81,25.96,1
82.6,212.74,104.88,82.09,30.97,0
83.09,211.95,108.3,75.1,29.51,0
80.97,220.78,100.57,81.62,30.64,0
80.83,209.56,99.7,79.97,32.46,0
75.46,210.42,93.77,84.58,32.47,0
84.97,231.13,120.89,78.04,37.1,1
79.78,211.72,102.78,85.13,28.19,0
77.74,219.56,113.57,86.08,26.89,0
80.99,224.99,96.45,85.27,31.19,0
81.03,222.59,106.64,75.58,29.87,0
81.9,216.1,87.44,87.07,27.38,0
86.37,214.7,102.17,89.19,29.57,0
79.32,216.06,116.6,72.65,24.21,0
77.08,210.53,95.82,81.02,29.24,0
85.27,250.62,115.68,84.71,32.52,1
82.57,220.28,92.17,87.4,31.22,0
77.88,220.38,105.45,89.29,29.4,0
80.89,220.54,103.55,83.58,34.42,0
75.35,207.24,109.97,69.76,27.51,0
81.04,234.04,109.27,90.63,27.26,0
79.3,213.82,89.64,97.31,27.79,0
80.99,217.69,98.99,81.17,31.13,0
79.05,213.95,92.4,93.82,30.16,0
77.27,223.94,95.63,95.05,29.14,0
97.13,231.99,123.82,94.45,35.37,1
84.4,218.34,102.32,69.24,32.0,0
77.46,215.57,95.68,75.43,28.53,0
84.61,221.95,99.56,75.75,25.69,0
85.66,226.98,78.42,84.86,28.04,0
82.15,243.14,130.94,96.63,37.79,1
78.97,231.61,97.92,82.0,31.84,0
