current,voltage,wire_feed_speed,travel_speed,gas_flow,arc_length,heat_input,quality
202.68,27.52,10.94,418.17,17.13,5.67,0.8,0
210.64,28.76,7.02,378.7,18.95,5.04,0.96,0
210.96,35.52,13.35,460.16,21.05,5.09,0.98,0
188.36,21.92,7.97,435.28,22.72,5.54,0.57,0
229.3,30.35,7.4,356.58,19.91,5.96,1.17,0
219.11,26.64,11.78,351.62,19.77,6.15,1.0,0
246.44,24.06,12.23,396.57,22.84,7.36,0.9,0
265.77,27.3,10.82,241.63,21.4,6.4,1.8,0
251.75,25.59,10.84,347.32,22.39,7.06,1.11,0
199.21,22.57,8.83,505.86,20.4,5.96,0.53,1
204.92,28.05,9.02,393.82,21.88,5.07,0.88,0
228.25,31.33,7.1,348.25,19.14,4.78,1.23,0
268.28,32.85,12.17,525.34,13.53,6.42,1.01,1
252.38,26.59,3.93,413.91,19.09,4.82,0.97,0
219.7,28.02,11.24,456.62,21.59,4.41,0.81,0
275.84,29.15,5.74,268.09,22.61,4.21,1.8,1
208.51,28.95,11.17,524.67,20.15,5.57,0.69,0
208.33,33.75,11.09,360.3,19.58,7.36,1.17,0
265.14,25.75,10.57,444.17,17.46,5.96,0.92,0
230.33,30.98,8.81,518.28,17.73,5.28,0.83,0
186.51,24.65,9.18,396.13,20.08,6.49,0.7,0
241.49,27.83,10.09,387.25,20.07,6.58,1.04,0
205.7,31.56,8.33,333.09,20.02,6.99,1.17,0
219.17,32.19,11.44,380.14,19.55,6.77,1.11,0
192.12,24.33,8.07,302.3,20.46,6.87,0.93,0
217.15,20.85,11.58,373.7,17.97,6.68,0.73,0
202.88,23.9,13.91,365.93,21.71,5.02,0.8,0
295.17,30.14,9.15,423.86,17.91,9.97,1.26,1
272.33,38.05,16.05,347.53,20.6,4.53,1.79,1
262.31,28.71,11.45,387.13,18.08,4.91,1.17,0
198.39,28.66,11.29,426.47,22.72,5.76,0.8,0
269.29,37.62,10.53,302.61,18.89,5.61,2.01,1
192.08,23.86,11.2,363.06,16.9,4.63,0.76,0
260.12,32.11,13.42,453.84,18.72,5.01,1.1,0
244.87,26.53,10.83,503.87,20.95,4.95,0.77,0
201.11,27.89,5.43,337.71,20.29,6.29,1.0,0
239.1,35.28,8.39,421.61,18.19,5.85,1.2,0
242.22,24.35,7.34,507.95,20.61,4.67,0.7,0
256.39,26.57,11.15,542.76,23.63,6.07,0.75,0
242.77,27.64,9.07,307.38,20.46,6.67,1.31,0
231.1,16.59,9.24,320.66,23.91,6.39,0.72,1
180.59,27.61,10.86,381.05,18.56,6.33,0.79,0
218.46,28.83,9.19,349.66,17.34,4.94,1.08,0
218.94,30.96,10.32,492.69,17.54,4.69,0.83,0
232.23,27.99,8.96,376.91,20.71,6.57,1.03,0
199.66,25.02,8.8,518.5,20.32,5.86,0.58,0
234.79,33.5,9.77,463.99,22.1,4.36,1.02,0
231.25,32.4,9.72,400.65,18.37,4.64,1.12,0
240.19,27.57,10.16,429.52,23.23,6.74,0.92,0
201.31,28.34,11.68,446.7,21.1,6.27,0.77,0
183.7,27.1,8.16,272.73,21.05,5.64,1.1,0
217.98,28.12,4.4,405.94,20.54,4.87,0.91,0
232.28,26.08,8.95,423.57,21.96,3.45,0.86,0
229.27,31.76,12.35,384.35,18.7,4.53,1.14,0
192.12,30.12,12.87,245.41,15.33,5.51,1.41,0
230.22,27.15,4.58,386.39,17.74,4.64,0.97,0
249.48,30.48,10.56,396.4,18.73,5.33,1.15,0
215.03,25.16,8.11,391.17,21.57,4.92,0.83,0
196.84,23.98,10.0,474.08,19.63,6.29,0.6,0
177.37,32.27,8.88,343.28,21.88,6.28,1.0,0
213.0,27.91,7.38,342.04,18.82,5.44,1.04,0
225.92,31.4,9.92,357.6,21.02,6.44,1.19,0
231.04,28.68,9.06,528.23,25.94,4.52,0.75,0
310.4,40.55,3.09,466.33,15.91,8.77,1.62,1
274.28,26.7,7.6,359.91,17.76,4.0,1.22,0
221.91,27.58,10.52,265.05,18.77,6.63,1.39,0
214.7,29.83,15.16,445.38,16.49,5.27,0.86,0
247.03,25.08,10.46,355.86,23.17,5.98,1.04,0
202.17,26.34,14.0,366.79,20.44,6.02,0.87,0
235.62,29.11,9.64,439.14,18.05,6.21,0.94,0
242.94,25.5,10.14,478.24,20.61,4.5,0.78,0
146.33,29.88,15.09,418.44,20.24,4.72,0.63,0
185.96,22.61,7.17,413.6,19.57,6.65,0.61,0
212.88,22.98,12.07,291.56,23.21,3.93,1.01,0
226.04,29.78,9.51,468.0,20.05,4.7,0.86,0
193.96,28.54,13.12,277.33,16.19,6.67,1.2,0
215.45,29.83,9.61,465.87,21.29,6.94,0.83,0
211.6,28.34,12.65,524.98,18.63,4.9,0.69,0
224.65,23.55,11.68,304.53,19.63,4.92,1.04,0
250.57,27.23,7.09,312.72,20.88,5.06,1.31,0
201.78,29.03,8.78,443.47,20.31,6.72,0.79,0
269.32,26.97,9.89,517.8,15.99,6.36,0.84,1
201.43,31.62,13.32,392.19,20.72,5.9,0.97,0
206.42,25.96,12.15,298.22,26.57,3.96,1.08,0
213.04,30.33,8.61,373.62,20.86,4.86,1.04,0
145.67,26.07,10.84,530.8,22.32,6.41,0.43,0
221.37,26.94,12.97,429.39,18.35,7.24,0.83,0
242.91,28.54,11.01,434.73,20.12,6.35,0.96,0
244.76,26.56,11.81,371.11,22.74,4.54,1.05,0
261.13,26.07,8.45,441.08,20.05,5.37,0.93,0
238.81,18.04,9.61,304.28,17.83,5.62,0.85,0
305.02,37.19,14.2,145.57,20.74,7.55,4.68,1
219.69,25.45,6.52,227.11,18.2,6.37,1.48,0
179.4,27.63,10.62,384.34,18.55,5.32,0.77,0
198.05,26.22,9.25,368.39,20.99,5.1,0.85,0
207.57,31.41,13.52,311.3,22.81,5.01,1.26,0
217.57,27.94,9.28,369.33,20.9,3.77,0.99,0
226.12,24.32,8.34,461.82,17.8,5.52,0.71,0
211.35,29.53,11.32,347.94,22.47,8.69,1.08,0
253.72,23.02,14.21,375.49,16.68,7.84,0.93,0
241.64,23.73,7.73,387.48,18.21,5.35,0.89,0
225.37,23.9,10.59,404.52,23.11,6.65,0.8,0
259.51,27.72,12.37,369.36,18.6,7.57,1.17,0
333.86,35.19,12.17,275.2,12.91,6.91,2.56,1
242.49,28.99,10.98,510.1,19.92,5.91,0.83,0
259.46,27.19,10.02,393.65,20.53,6.51,1.08,0
261.63,27.44,9.76,375.63,20.4,3.34,1.15,0
211.88,25.09,6.99,355.78,20.46,5.22,0.9,0
206.18,29.28,9.0,278.34,20.44,6.52,1.3,0
186.53,25.61,9.3,477.35,22.08,4.17,0.6,0
225.52,32.67,10.15,424.74,20.74,5.31,1.04,0
172.18,31.44,12.69,381.7,19.84,6.2,0.85,0
207.93,27.71,7.53,465.17,21.51,5.93,0.74,0
218.84,25.93,7.66,280.38,18.23,5.65,1.21,0
239.11,30.16,12.61,360.73,20.41,3.7,1.2,1
241.33,31.89,8.99,371.79,22.93,4.16,1.24,0
225.41,19.7,8.4,351.38,17.78,6.56,0.76,0
189.16,27.63,8.74,383.43,18.22,5.5,0.82,1
236.68,28.4,7.14,291.34,21.3,6.55,1.38,0
203.48,29.86,11.5,323.99,20.73,5.48,1.13,0
192.83,22.96,11.64,482.17,21.99,6.63,0.55,0
254.38,28.48,15.48,464.9,19.06,4.27,0.94,1
199.05,28.69,8.69,584.13,15.08,5.09,0.59,0
207.96,29.52,6.33,331.16,21.38,5.94,1.11,0
211.32,20.83,8.95,528.16,19.44,3.71,0.5,0
256.77,24.51,9.8,409.88,20.78,5.67,0.92,0
275.83,27.37,9.57,451.53,19.14,6.09,1.0,0
184.09,25.42,9.43,488.96,19.75,5.69,0.57,0
190.45,25.17,5.33,508.28,21.44,7.18,0.57,0
236.39,24.16,9.98,277.95,22.06,7.55,1.23,0
227.29,28.75,13.27,295.2,20.15,4.0,1.33,0
190.35,27.5,10.59,324.0,19.54,4.88,0.97,0
246.88,31.89,10.92,337.97,19.64,6.23,1.4,0
205.63,38.39,12.24,409.86,25.42,5.82,1.16,1
202.58,28.88,11.74,457.04,21.57,6.65,0.77,0
249.07,29.39,9.84,484.56,19.98,6.43,0.91,0
214.12,25.81,9.77,553.78,22.77,5.08,0.6,0
247.23,27.75,10.6,370.74,14.43,4.91,1.11,0
237.17,30.55,9.96,419.67,18.46,4.66,1.04,0
243.44,32.85,9.55,407.96,14.85,7.01,1.18,1
253.65,31.89,11.62,285.23,22.55,4.48,1.7,0
217.3,28.65,10.99,471.08,20.53,5.66,0.79,0
207.35,25.56,11.97,498.29,18.31,7.21,0.64,0
244.59,30.03,9.86,392.63,20.99,5.01,1.12,0
215.64,27.02,11.55,379.81,20.19,5.26,0.92,0
233.75,28.29,13.14,355.88,21.73,6.13,1.12,0
216.26,27.62,10.14,289.13,19.2,6.77,1.24,0
260.63,25.71,8.91,238.32,17.28,4.53,1.69,0
186.42,31.25,8.57,389.13,17.35,5.7,0.9,0
287.97,36.52,13.56,387.57,22.41,7.73,1.63,1
237.32,28.11,12.95,534.3,17.27,4.05,0.75,0
200.58,23.47,8.56,360.57,21.45,5.67,0.78,0
222.57,23.74,6.79,461.54,24.08,5.66,0.69,0
266.27,27.92,8.77,362.33,21.14,4.38,1.23,0
194.34,26.47,5.55,433.4,20.38,6.72,0.71,0
228.13,26.83,9.34,416.63,18.07,8.13,0.88,0
199.27,31.53,9.78,420.87,19.53,5.95,0.9,0
209.97,26.58,12.5,352.21,20.15,2.93,0.95,1
194.54,26.39,7.74,382.34,22.69,5.07,0.81,0
186.7,27.27,11.15,459.23,17.74,5.31,0.67,0
198.88,25.83,12.22,338.95,19.72,4.65,0.91,0
190.57,29.79,10.71,380.84,21.66,5.56,0.89,0
231.33,30.36,13.09,413.85,20.31,5.9,1.02,0
243.06,27.52,8.78,323.77,21.28,5.59,1.24,0
236.43,26.74,11.09,425.39,18.96,5.72,0.89,0
244.08,30.71,9.33,568.56,18.29,4.44,0.79,0
209.44,29.28,9.44,461.46,19.32,3.48,0.8,0
221.37,27.24,11.06,316.27,20.81,4.87,1.14,0
247.77,22.56,5.46,210.48,19.54,4.59,1.59,0
218.15,22.43,12.15,440.86,21.31,4.45,0.67,0
214.38,28.68,11.57,506.84,20.56,6.05,0.73,0
243.26,27.09,11.03,456.02,21.72,4.6,0.87,0
227.23,28.1,9.65,369.01,20.37,4.94,1.04,0
228.42,29.88,10.43,494.11,17.33,7.39,0.83,0
229.06,26.69,9.75,326.37,21.89,6.03,1.12,0
216.66,26.27,9.73,441.66,20.34,5.18,0.77,0
205.26,31.28,14.04,399.38,19.3,5.53,0.96,0
240.66,33.59,8.34,218.15,17.66,3.64,2.22,0
227.02,28.03,12.71,330.27,19.33,7.35,1.16,0
197.86,26.62,8.32,342.15,20.4,6.44,0.92,0
187.11,24.61,13.46,447.02,21.3,6.32,0.62,0
254.14,21.63,10.93,365.22,19.7,4.65,0.9,0
269.85,30.58,5.88,471.9,21.52,5.63,1.05,0
202.47,31.65,7.19,442.72,17.04,6.88,0.87,0
217.09,31.21,10.04,420.66,19.44,5.54,0.97,0
233.05,29.27,11.22,469.98,19.87,4.98,0.87,0
200.72,27.97,13.36,382.75,21.63,5.3,0.88,0
194.41,24.13,10.24,329.17,23.88,4.92,0.86,0
250.25,25.93,9.78,501.64,19.97,4.02,0.78,0
195.69,35.81,7.35,409.4,22.09,5.92,1.03,0
241.09,26.08,12.46,503.61,17.64,4.89,0.75,0
216.82,26.38,10.96,372.0,22.15,5.56,0.92,0
229.75,27.22,7.79,493.84,17.51,4.91,0.76,0
188.07,26.23,12.04,385.23,23.97,4.91,0.77,0
227.05,30.07,11.45,386.19,20.26,4.45,1.06,0
204.23,26.66,6.69,401.39,22.77,5.54,0.81,0
205.62,19.81,8.48,408.49,20.58,5.13,0.6,0
233.5,26.11,4.95,271.2,17.95,5.99,1.35,0
193.24,27.52,10.04,448.54,19.63,7.94,0.71,0
261.25,35.88,13.28,201.62,21.27,8.18,2.79,1
251.78,27.88,8.35,520.97,19.62,6.18,0.81,0
252.16,28.78,7.29,198.67,23.4,5.4,2.19,1
235.88,27.9,9.87,546.13,20.03,5.94,0.72,0
211.82,32.6,10.09,387.69,20.58,5.79,1.07,0
208.34,30.93,8.39,343.75,21.63,4.23,1.12,0
199.99,27.32,11.29,279.45,20.32,4.6,1.17,0
253.13,29.99,8.85,337.57,22.18,4.75,1.35,0
219.55,29.95,11.41,411.7,20.18,4.68,0.96,0
247.8,25.74,11.44,365.21,17.38,6.82,1.05,0
201.38,28.37,9.02,408.31,16.38,4.97,0.84,0
231.83,26.45,13.01,408.23,20.26,6.59,0.9,0
196.02,26.18,9.48,423.45,21.93,5.32,0.73,0
218.75,27.54,9.86,497.66,19.27,8.18,0.73,0
228.59,26.23,7.5,392.85,21.74,5.13,0.92,0
201.58,30.49,6.38,403.75,19.36,5.88,0.91,0
244.89,25.35,10.98,393.0,22.16,5.11,0.95,0
256.79,25.4,11.45,365.33,18.73,4.9,1.07,0
232.76,22.53,10.91,452.27,21.58,6.41,0.7,0
222.07,27.77,6.9,313.07,19.19,5.53,1.18,0
245.65,25.85,10.3,393.82,24.38,6.96,0.97,0
229.44,28.55,13.35,449.82,22.6,6.56,0.87,0
243.54,37.86,7.79,460.0,21.11,6.66,1.2,0
221.83,25.25,8.38,469.15,20.14,5.52,0.72,0
212.55,27.07,10.16,356.85,20.65,7.83,0.97,0
244.26,25.97,10.43,461.4,17.83,5.34,0.82,0
194.04,26.37,9.66,388.92,22.05,4.61,0.79,0
278.99,25.25,10.44,467.05,23.2,6.49,0.9,0
229.68,29.78,9.2,383.98,18.44,4.96,1.07,0
233.11,28.09,10.04,473.64,20.06,5.52,0.83,0
202.56,31.95,10.53,323.61,20.39,4.76,1.2,0
239.47,25.86,14.06,373.79,23.5,4.72,0.99,0
245.08,27.85,11.58,456.26,18.34,2.68,0.9,0
215.53,31.83,9.3,445.77,15.93,6.42,0.92,0
202.81,32.03,8.48,346.95,19.73,6.4,1.12,0
240.64,27.37,12.47,310.38,19.07,6.43,1.27,0
203.1,26.95,10.79,333.37,20.45,3.86,0.98,0
236.89,32.64,9.09,366.62,17.5,6.2,1.27,0
249.63,28.04,13.34,408.52,17.63,5.86,1.03,0
240.38,31.18,12.13,250.68,17.2,4.14,1.79,0
227.86,28.07,12.32,412.42,14.84,5.57,0.93,0
175.27,25.99,7.59,419.28,21.07,6.15,0.65,0
276.72,26.9,11.35,387.42,17.09,5.37,1.15,0
215.18,28.35,9.26,256.55,21.3,3.99,1.43,0
198.73,29.05,9.84,424.76,20.96,5.48,0.82,0
239.83,25.59,7.38,349.1,18.41,6.12,1.05,0
224.87,29.01,7.25,351.4,17.36,7.01,1.11,0
242.67,32.47,6.73,440.65,20.02,6.32,1.07,0
307.28,29.91,14.39,318.34,21.46,5.24,1.73,1
252.91,35.82,12.94,410.98,19.3,7.41,1.32,1
215.99,29.1,11.18,331.27,19.52,6.77,1.14,0
230.82,25.43,7.51,373.6,17.97,5.6,0.94,0
259.06,25.15,14.47,378.15,21.69,5.94,1.03,0
190.85,23.71,10.87,452.49,17.09,5.21,0.6,0
217.94,30.2,10.14,265.28,21.02,3.8,1.49,0
215.74,26.07,7.74,460.26,21.24,6.02,0.73,0
225.42,31.51,14.88,413.86,20.33,5.19,1.03,0
190.55,26.26,11.27,348.19,23.19,4.97,0.86,0
226.07,31.3,9.12,394.2,16.85,5.5,1.08,0
252.9,38.13,13.21,480.39,22.34,6.11,1.2,0
218.12,27.26,8.55,433.75,19.48,3.25,0.82,0
205.13,26.37,8.17,341.73,23.37,4.33,0.95,0
242.36,27.06,11.41,400.26,19.63,4.59,0.98,0
224.71,28.09,10.32,395.29,18.75,6.48,0.96,0
226.72,26.63,8.9,635.62,22.22,5.93,0.57,0
220.01,31.78,4.01,454.67,19.08,6.33,0.92,0
224.47,33.42,11.45,401.64,18.24,5.47,1.12,0
171.26,30.74,8.67,506.81,20.71,3.03,0.62,0
206.55,27.08,13.47,399.16,15.96,6.43,0.84,0
224.09,30.74,8.11,284.82,18.46,5.32,1.45,0
206.66,29.62,10.07,296.23,21.01,5.75,1.24,0
286.38,29.82,11.12,493.82,23.35,8.31,1.04,1
217.5,27.86,12.28,418.83,16.94,5.96,0.87,0
272.24,40.91,6.48,394.23,22.23,6.92,1.69,1
213.73,26.96,9.61,288.46,18.07,4.75,1.2,0
178.19,29.26,4.89,455.2,23.51,5.57,0.69,0
210.34,21.47,9.48,438.52,20.76,4.07,0.62,0
225.17,29.77,10.51,523.21,22.86,6.11,0.77,0
203.24,29.14,8.87,332.91,16.52,6.25,1.07,0
209.77,29.46,12.22,318.56,16.95,4.52,1.16,0
207.43,30.93,10.0,421.45,19.39,7.49,0.91,0
188.84,28.91,8.02,556.77,20.7,6.01,0.59,0
221.1,30.04,13.1,310.07,19.31,7.67,1.29,0
172.41,28.64,8.74,485.87,20.04,6.7,0.61,0
157.69,29.82,13.75,373.42,24.55,6.36,0.76,0
218.14,31.99,8.38,244.21,19.47,5.42,1.71,0
188.24,26.95,10.69,438.86,20.96,3.46,0.69,0
198.71,28.51,8.78,277.04,20.33,5.33,1.23,0
240.12,28.05,8.57,437.75,21.95,5.76,0.92,0
211.79,24.07,10.17,498.45,19.33,5.33,0.61,0
262.63,31.71,13.49,406.43,20.48,4.95,1.23,0
218.6,25.77,8.62,355.51,19.22,5.98,0.95,0
286.85,29.38,17.45,484.3,15.21,5.87,1.04,1
202.66,23.09,11.31,473.54,21.64,5.78,0.59,0
203.88,28.36,12.07,372.43,23.95,6.85,0.93,0
232.7,24.81,9.8,413.64,20.62,5.92,0.84,0
275.86,35.0,13.09,525.64,20.84,5.35,1.1,1
176.84,29.83,5.96,341.33,20.91,5.07,0.93,0
195.79,24.54,9.29,475.98,19.69,6.54,0.61,0
256.11,29.66,12.55,460.56,22.38,5.66,0.99,0
239.08,24.51,10.27,443.04,20.39,6.84,0.79,0
135.61,32.48,12.52,400.03,17.44,4.84,0.66,0
241.97,27.77,7.35,422.8,20.64,5.32,0.95,0
223.11,26.61,9.01,332.43,18.91,5.64,1.07,0
247.61,30.53,10.34,442.67,16.52,6.07,1.02,0
202.22,27.79,10.01,404.16,21.0,3.85,0.83,0
187.19,23.84,9.23,326.36,25.01,5.5,0.82,0
264.43,27.81,8.8,413.42,18.95,4.59,1.07,0
227.49,29.04,9.33,411.45,17.27,5.67,0.96,0
236.5,27.16,10.21,351.0,21.88,5.49,1.1,0
224.44,30.72,9.62,370.34,20.27,7.24,1.12,0
190.47,31.03,10.04,527.19,23.28,4.91,0.67,0
233.43,27.83,10.16,453.65,18.64,7.04,0.86,0
205.12,25.06,11.06,430.73,17.13,6.03,0.72,0
211.52,32.1,6.66,452.98,20.98,7.18,0.9,0
205.8,31.85,11.21,223.4,22.5,5.78,1.76,0
195.38,27.93,10.52,393.9,17.84,5.58,0.83,0
235.41,31.89,7.64,556.97,21.99,5.86,0.81,0
235.26,27.09,10.67,493.5,19.51,5.38,0.77,0
232.66,28.3,9.34,311.78,18.68,5.76,1.27,0
213.05,27.76,7.97,456.08,18.41,7.03,0.78,0
212.99,32.53,9.99,374.11,22.6,5.56,1.11,0
239.78,30.88,6.58,347.46,15.49,6.79,1.28,0
229.13,24.16,8.78,436.41,20.92,4.67,0.76,0
199.01,31.3,12.77,468.85,21.44,5.02,0.8,0
209.82,29.44,8.9,564.53,16.48,5.75,0.66,0
204.6,19.1,9.38,378.68,15.39,5.84,0.62,0
199.13,28.16,7.16,465.29,18.76,4.23,0.72,0
255.9,34.41,7.94,400.04,23.86,6.53,1.32,0
233.72,32.11,9.11,468.48,18.46,6.81,0.96,0
182.24,27.18,6.27,420.04,22.85,5.85,0.71,0
269.79,33.95,12.12,478.49,15.44,5.78,1.15,1
180.69,36.14,10.03,389.15,23.12,6.31,1.01,0
205.07,28.56,10.9,331.69,19.3,5.63,1.06,0
238.13,36.35,9.21,171.51,19.1,6.42,3.03,1
205.97,27.08,11.87,391.64,19.71,4.99,0.85,0
256.86,30.53,10.77,502.73,20.99,5.36,0.94,0
201.47,28.58,13.9,316.57,19.81,5.67,1.09,0
220.88,24.67,7.76,415.5,21.38,6.15,0.79,0
204.0,26.62,12.25,347.24,15.9,5.35,0.94,0
228.56,35.57,10.66,459.67,18.05,4.78,1.06,0
279.8,27.57,10.18,296.28,20.72,7.55,1.56,1
228.36,31.98,11.62,358.01,21.66,5.76,1.22,0
243.61,22.96,10.08,211.53,19.26,6.81,1.59,0
205.3,26.01,7.1,386.77,17.66,6.57,0.83,0
203.38,28.8,9.7,441.9,16.78,4.38,0.8,0
232.1,28.62,11.42,374.7,23.09,5.64,1.06,0
173.13,29.53,10.36,359.79,16.46,5.37,0.85,0
247.11,35.32,9.51,473.95,18.08,5.28,1.11,0
226.21,26.89,6.95,421.96,20.64,8.93,0.86,0
161.44,27.19,10.17,329.29,22.28,3.9,0.8,0
245.18,23.82,8.02,448.31,17.09,4.39,0.78,0
274.05,35.53,11.57,488.8,20.6,7.61,1.2,1
252.7,28.37,9.01,453.59,22.53,5.53,0.95,0
290.93,23.14,14.1,555.48,13.58,9.02,0.73,1
285.12,24.47,14.73,397.3,19.56,6.44,1.05,1
179.53,19.27,7.1,276.74,20.23,4.67,0.75,0
247.32,29.71,11.28,522.1,18.34,5.31,0.84,0
230.82,24.7,8.86,287.46,18.8,5.76,1.19,0
231.87,30.52,10.9,380.38,20.23,4.11,1.12,0
214.78,28.17,10.25,303.65,20.82,5.73,1.2,0
225.66,26.28,10.09,456.41,23.34,7.67,0.78,0
224.88,24.38,11.52,294.86,21.89,6.36,1.12,0
217.18,30.72,12.97,392.91,20.48,5.83,1.02,0
228.74,27.06,9.22,444.13,21.17,5.64,0.84,0
193.55,29.18,7.18,406.8,21.64,6.78,0.83,0
184.58,28.32,10.6,253.95,17.06,5.26,1.24,0
235.24,32.81,10.93,435.68,19.66,5.48,1.06,0
218.39,26.5,7.99,429.67,19.94,5.96,0.81,0
215.77,28.68,13.19,364.54,21.58,4.49,1.02,0
270.16,26.85,6.63,334.3,19.05,5.25,1.3,0
261.93,26.65,9.35,283.9,19.31,5.45,1.48,0
275.08,35.95,9.33,387.77,15.94,6.2,1.53,1
225.05,30.43,8.53,393.13,21.12,6.03,1.05,0
233.71,27.24,11.04,425.95,17.08,6.33,0.9,0
212.95,27.1,10.6,332.13,16.41,5.6,1.04,0
232.33,26.97,8.28,366.92,21.45,5.34,1.02,0
227.25,25.42,6.68,494.25,19.27,5.74,0.7,0
234.34,29.01,14.35,589.96,18.66,5.58,0.69,0
241.24,30.15,10.46,339.35,18.91,6.84,1.29,0
224.51,29.67,12.61,315.02,22.27,3.92,1.27,0
206.65,24.61,10.48,313.0,21.23,4.51,0.97,0
206.42,21.96,9.93,375.35,17.57,4.75,0.72,0
286.58,34.01,16.55,310.06,15.93,5.01,1.89,1
195.23,33.61,9.57,601.96,19.03,5.78,0.65,0
210.43,32.81,11.69,387.05,25.69,4.63,1.07,0
178.31,26.88,9.2,345.37,19.68,5.62,0.83,0
218.04,26.85,9.89,411.9,20.45,6.04,0.85,0
179.22,26.23,9.43,425.06,19.22,4.93,0.66,0
209.25,23.29,9.4,426.21,20.34,7.88,0.69,0
228.0,27.26,10.19,466.64,22.69,3.65,0.8,0
247.82,24.77,10.48,493.62,18.01,5.61,0.75,0
191.67,28.54,11.58,576.18,17.67,6.42,0.57,0
226.2,27.39,7.11,388.83,19.19,5.07,0.96,0
187.32,28.67,9.85,336.64,19.92,5.49,0.96,0
251.68,32.25,12.21,494.49,16.13,9.35,0.99,1
182.14,32.66,8.97,589.47,17.98,4.59,0.61,0
203.62,25.54,8.67,374.35,17.45,6.07,0.83,0
264.24,42.53,16.1,218.19,15.11,9.83,3.09,1
218.93,28.56,11.78,382.98,20.02,4.9,0.98,0
216.77,29.31,7.37,477.48,19.39,5.42,0.8,0
180.66,25.84,9.28,237.13,18.57,6.2,1.18,0
229.87,29.38,7.65,389.26,18.75,6.73,1.04,0
219.89,31.28,8.31,393.93,20.8,4.51,1.05,0
207.32,28.38,12.31,290.87,17.36,5.44,1.21,1
237.2,29.58,11.54,490.11,22.39,4.98,0.86,0
234.44,26.11,11.01,393.33,23.85,4.39,0.93,0
225.61,32.56,12.06,483.34,18.35,5.53,0.91,0
265.21,28.59,19.46,396.12,17.05,6.56,1.15,1
216.22,29.71,5.35,345.53,19.2,4.18,1.12,0
210.04,30.27,10.69,286.59,18.74,6.68,1.33,0
210.7,33.67,11.06,241.02,19.76,5.9,1.77,0
222.4,28.84,10.74,344.77,23.35,7.9,1.12,0
220.82,24.45,8.71,322.75,23.48,4.67,1.0,0
