x_load,y_load,z_load,spindle_speed,feed_rate,tool_wear_class
19.92,24.9,26.36,1810.21,459.42,0
30.24,27.44,57.03,1253.65,171.61,2
24.03,24.41,36.03,1815.17,283.08,0
56.37,27.82,67.87,2444.13,153.2,2
24.39,24.89,28.76,2912.09,120.94,0
31.87,28.39,32.66,2427.91,130.24,0
45.58,36.24,28.08,2613.33,349.6,1
28.89,27.9,48.31,2177.46,480.31,0
34.27,27.73,28.09,1878.3,440.14,0
32.29,45.17,51.28,2145.21,160.82,1
38.5,32.29,46.72,1169.13,195.26,1
29.57,28.36,44.75,1177.21,485.4,0
58.25,47.79,57.08,2163.47,257.26,2
22.61,53.81,65.05,1404.59,444.67,2
47.92,37.23,53.1,2104.73,129.09,2
34.5,47.04,49.17,2185.68,294.45,1
19.64,24.48,38.82,1715.63,198.64,0
35.49,34.11,67.9,2173.25,421.67,2
30.44,23.39,38.09,2020.86,371.13,0
31.09,39.78,49.12,2219.39,187.28,1
24.05,30.45,42.22,2689.74,293.82,1
41.3,33.15,37.96,2527.38,136.57,2
33.31,29.36,31.16,2353.64,207.04,0
36.86,45.74,47.95,2389.28,184.32,1
29.52,30.81,34.23,2777.32,289.52,0
28.61,54.44,57.55,2657.31,266.33,2
30.47,31.16,71.87,2556.05,158.91,1
21.78,17.48,31.74,2577.86,130.5,0
40.94,39.85,40.68,2842.62,240.49,1
23.87,23.04,33.43,1124.92,288.91,0
20.01,20.0,43.86,2475.74,234.94,0
46.32,34.42,66.84,1498.02,220.97,1
35.04,28.17,70.8,2191.36,392.35,2
58.69,54.64,66.64,2816.04,259.73,2
49.57,51.43,38.11,1041.87,451.21,2
20.98,34.5,33.25,1975.26,307.61,0
38.31,36.83,37.57,2319.02,124.96,1
23.14,33.08,36.18,1896.64,186.3,0
28.15,22.48,29.97,1218.53,266.6,0
25.33,26.66,42.23,1144.63,408.06,0
30.94,30.38,42.88,2932.1,484.25,0
44.96,23.75,44.43,2991.26,331.73,1
16.16,24.88,36.63,2445.41,226.25,0
27.14,29.0,34.82,1642.99,412.15,0
48.45,43.14,75.13,1379.87,302.28,2
34.83,49.26,48.09,1172.26,337.51,2
44.38,39.49,45.4,2881.76,307.84,2
47.57,40.2,34.76,2410.28,134.81,1
13.19,20.36,34.38,2006.17,123.14,0
45.95,51.66,69.91,1354.31,258.4,2
30.38,21.56,48.58,2765.83,286.52,1
31.94,31.25,45.77,1437.43,191.75,1
30.82,31.94,37.8,1423.27,327.09,1
21.21,37.41,50.0,1486.79,202.59,1
22.59,27.56,34.25,2105.0,178.33,0
53.39,33.36,45.31,1286.94,172.36,2
22.73,23.52,23.91,1773.08,357.66,0
27.34,34.69,27.81,1028.63,251.64,0
53.6,34.95,76.03,1954.83,391.46,2
57.5,46.53,64.83,2281.93,435.66,2
46.8,41.3,61.09,2032.57,451.84,2
40.45,51.55,52.1,2605.62,205.3,1
32.57,20.0,19.94,1400.95,407.03,0
48.01,44.0,42.31,1766.43,412.09,2
22.76,21.94,17.29,1632.54,153.71,0
39.87,42.4,57.45,2512.51,358.23,2
24.98,23.23,24.4,1406.45,142.15,0
19.88,29.2,33.52,2707.92,428.87,0
31.84,42.79,42.71,1539.02,254.24,1
24.89,30.54,34.06,1814.21,409.6,0
16.77,40.68,47.95,1044.85,122.79,1
37.24,37.38,50.86,2247.49,315.21,1
41.25,40.0,46.5,1501.76,218.64,2
29.42,29.24,22.76,1222.0,490.41,0
23.54,33.2,47.13,1568.55,424.45,0
34.96,37.13,48.69,1976.99,417.04,1
38.06,40.73,35.87,2567.48,283.37,1
19.4,22.84,35.13,1953.69,360.66,0
35.05,35.18,35.71,2761.95,287.23,1
39.68,40.05,37.25,1803.77,350.93,1
34.42,31.09,27.37,2253.19,343.1,0
29.78,31.59,38.56,1984.65,244.02,0
50.42,25.85,27.63,1264.36,288.7,2
26.62,33.06,26.64,1542.82,331.32,0
34.43,25.71,42.89,1077.88,495.78,1
41.28,18.84,57.38,2640.98,326.96,2
22.87,25.62,33.82,1093.7,288.0,0
24.1,23.77,22.39,2497.29,203.96,0
32.43,38.75,43.84,2915.89,102.59,2
30.37,42.68,52.32,1483.0,394.97,1
51.17,31.37,63.09,1323.85,495.8,2
45.83,38.4,58.12,2319.38,264.32,2
36.33,19.93,33.69,1627.65,178.66,1
41.18,24.34,49.94,1649.02,134.04,1
47.6,58.45,64.64,1962.56,242.18,2
32.06,25.58,32.26,1775.3,183.67,0
51.59,29.42,31.32,2344.5,183.33,2
27.83,52.58,58.72,1885.15,204.46,2
32.81,22.57,32.84,2384.72,490.14,1
40.48,34.08,33.13,1683.81,480.58,1
23.74,31.57,36.0,1993.39,158.79,0
39.8,42.25,45.49,1650.58,237.06,1
27.14,21.24,32.41,1333.91,417.26,0
18.08,50.25,46.94,2153.96,412.97,2
49.17,38.44,40.56,1541.89,445.2,1
45.65,44.11,69.05,1879.71,321.39,2
41.25,34.66,36.73,2114.67,242.13,1
25.31,23.48,30.85,2812.22,413.28,0
35.1,33.39,53.78,1646.05,184.2,1
27.39,24.28,68.59,2728.87,396.66,1
27.33,20.32,44.17,1100.45,239.24,0
45.84,35.81,52.67,2965.04,243.12,2
53.97,28.64,55.14,1325.32,371.02,2
49.2,59.85,62.03,2131.7,189.86,2
30.74,27.76,31.7,1552.34,456.06,0
47.17,47.25,56.14,2962.24,295.85,1
39.25,30.94,39.56,1550.58,328.5,1
42.67,47.26,76.35,1160.37,123.85,2
47.59,55.78,59.81,1662.7,117.63,2
32.31,34.53,39.28,2000.72,430.28,1
46.94,47.02,48.21,2822.68,326.41,2
41.5,38.23,60.23,2333.04,262.95,2
62.89,41.78,62.93,2750.27,154.09,2
40.9,46.26,32.72,2909.13,482.69,2
27.57,22.68,26.99,2608.87,456.09,0
19.66,31.7,35.69,2374.04,166.3,0
55.8,36.49,57.16,1119.17,169.76,2
40.12,29.69,42.34,2333.69,125.03,1
29.34,39.83,45.52,2430.2,321.06,1
61.99,41.63,43.72,2652.68,418.5,2
23.64,20.13,36.82,1815.09,224.75,0
17.18,28.71,50.62,1267.66,354.38,0
33.68,36.45,54.19,2997.79,332.28,1
20.27,45.53,46.42,2166.26,304.68,2
28.48,25.84,36.87,2022.55,119.27,0
51.76,37.29,47.55,2869.46,436.87,2
42.87,50.15,47.17,1302.89,419.66,2
30.51,39.85,52.11,2815.68,498.9,1
23.81,39.89,44.88,1947.84,363.62,1
34.54,23.05,25.03,2190.61,287.64,1
30.45,42.82,53.3,1176.77,487.1,1
19.29,31.59,31.62,2961.48,273.09,0
38.23,32.41,39.37,2858.28,178.57,1
21.0,15.85,37.59,2607.92,190.15,0
30.74,23.25,46.31,2858.46,109.44,0
19.15,26.42,34.77,1421.41,247.11,0
38.08,42.51,51.34,2676.31,199.87,1
37.49,36.0,56.2,1543.89,126.81,1
50.01,35.65,67.11,2176.0,394.01,2
45.88,47.03,46.91,1709.46,252.86,2
32.15,41.23,33.79,2776.24,158.77,1
53.2,43.75,44.92,2941.88,370.18,2
43.29,48.78,66.65,1117.13,468.97,2
41.45,35.49,63.8,1653.28,302.2,1
26.52,35.23,41.24,1077.96,369.6,1
25.43,33.55,34.9,2206.99,191.29,0
31.75,36.58,54.87,2856.36,150.4,1
25.95,25.44,39.49,1765.6,286.0,1
38.24,32.66,60.83,1884.59,443.92,1
29.93,21.02,34.8,2332.77,196.79,0
20.91,25.97,30.04,1571.57,219.22,0
27.18,25.35,31.95,1245.84,398.98,0
50.76,44.15,36.65,1417.66,290.04,2
22.35,22.82,32.12,1599.13,206.23,0
38.66,36.84,24.78,1106.7,364.67,1
21.66,25.97,36.67,1007.64,103.14,0
51.82,40.24,71.76,2011.86,243.26,2
28.1,29.88,33.19,2171.73,477.09,0
27.26,28.36,32.6,2407.71,437.46,0
43.25,46.82,70.08,1829.65,368.17,2
47.97,37.95,69.07,1908.37,118.23,2
26.96,34.56,53.97,2981.36,435.29,1
35.29,27.51,46.19,2249.57,414.08,0
37.95,41.21,51.02,1339.46,170.05,1
17.19,28.55,27.36,2045.15,148.08,0
20.2,20.39,30.45,2766.93,452.06,0
22.34,26.01,35.76,1557.52,214.96,0
19.69,26.07,39.35,1008.73,492.48,0
29.6,21.89,27.49,2678.68,158.92,0
33.73,38.51,42.18,1375.44,403.72,1
48.84,24.52,43.05,2650.83,133.09,1
40.21,36.12,48.31,2521.7,489.23,1
27.58,25.95,42.89,2910.23,422.86,0
39.66,42.87,47.53,2513.46,244.56,1
36.61,38.38,43.19,1910.34,322.71,1
56.77,45.41,43.34,2297.28,487.97,1
26.24,55.43,62.84,1113.76,483.92,2
48.23,42.0,42.04,1124.07,307.42,2
41.47,46.29,65.32,1783.48,419.01,2
37.26,41.68,44.68,1096.73,377.98,2
30.4,18.4,28.56,2481.81,279.07,0
24.06,23.4,37.64,2426.09,441.51,0
53.87,42.76,54.57,2881.01,170.83,2
52.0,52.7,58.28,1158.56,432.25,2
27.5,28.58,47.3,2308.68,366.88,1
31.47,37.73,52.73,2524.61,436.04,1
25.88,19.73,29.33,1452.06,259.2,0
37.58,34.54,52.38,1161.23,268.0,2
36.39,26.96,53.32,1720.85,267.44,1
29.26,21.54,48.71,1540.79,196.76,0
39.52,42.45,55.51,2879.14,331.34,2
56.93,49.1,59.94,2197.13,305.48,2
54.74,56.96,74.37,2651.86,204.53,2
27.79,40.65,52.63,1554.14,261.1,2
55.22,49.06,68.05,1865.54,233.68,2
44.59,32.65,57.04,2351.33,174.11,2
28.01,29.18,50.58,1334.71,173.14,1
40.26,41.92,41.84,1729.64,253.11,2
29.42,25.38,39.47,2259.12,255.27,0
33.27,43.65,37.34,2323.94,140.39,1
39.66,41.08,50.39,2674.73,418.37,1
30.33,50.22,34.56,2606.02,196.27,2
41.23,31.15,60.3,1063.49,216.58,1
54.35,29.23,59.58,2210.18,214.25,2
31.35,60.61,44.52,1824.56,478.39,2
35.24,34.7,44.55,2249.23,295.76,1
30.68,35.27,45.74,2558.21,188.2,1
28.3,43.48,35.23,2643.66,438.96,1
20.22,23.45,36.78,1754.64,318.63,0
28.32,28.53,53.27,2795.84,423.61,1
39.55,29.51,55.8,2355.06,174.11,1
30.27,33.39,42.3,2126.79,178.07,1
40.97,20.78,31.2,1635.17,238.08,0
25.57,25.22,21.14,2413.95,383.09,0
39.76,42.12,36.94,1464.04,410.82,1
58.65,52.62,70.6,1560.67,164.58,2
49.12,36.16,51.36,2619.85,259.12,2
31.41,24.81,33.0,1203.78,483.17,0
40.94,44.13,67.34,2143.22,333.93,2
33.12,29.76,27.11,2550.69,412.53,0
61.64,47.89,74.6,2316.2,373.73,2
32.94,30.76,47.67,2166.38,137.51,1
30.15,28.8,34.26,2783.74,209.88,0
59.2,47.11,63.57,2627.45,234.15,2
21.99,25.63,36.12,1589.24,105.88,0
47.32,38.63,73.44,2198.92,110.08,2
23.59,24.55,23.36,2895.38,106.78,0
46.72,25.33,57.69,2071.87,448.27,1
28.47,16.92,36.96,1952.87,283.2,0
43.36,34.84,44.52,1457.75,281.6,1
44.94,32.48,48.78,1736.69,211.35,1
38.42,32.26,48.06,2014.12,112.01,1
21.42,14.39,46.29,2655.04,183.55,0
17.03,30.94,37.53,1717.43,179.69,0
22.56,29.99,34.31,1038.23,154.64,0
26.25,27.79,49.34,2878.14,441.02,1
24.6,24.2,36.88,2265.42,119.99,0
40.24,42.29,45.05,2510.27,433.04,2
36.36,48.99,71.54,2901.07,293.52,2
37.83,45.77,45.77,2132.36,390.0,1
19.95,26.19,32.41,1898.7,483.12,0
23.98,27.45,47.43,2537.85,261.72,0
22.92,38.95,48.35,2414.79,262.72,1
51.02,45.17,49.23,1903.48,157.02,2
44.42,59.69,62.65,1774.55,356.73,2
49.7,27.18,42.93,1529.27,207.42,1
33.86,22.63,21.83,2995.64,306.34,0
55.85,38.64,61.64,2080.56,449.72,2
28.71,28.55,32.6,1134.51,421.52,1
38.2,29.5,45.75,2921.84,100.26,1
29.19,31.48,52.64,2186.32,248.87,1
60.73,48.25,56.63,1592.65,491.29,2
24.15,26.69,22.38,2523.6,412.73,0
37.93,37.06,39.54,1909.53,156.49,1
43.9,53.56,51.37,1044.13,267.36,2
24.09,11.48,39.88,1483.86,485.11,0
22.55,38.86,36.04,2528.71,225.55,1
48.17,43.25,45.34,1953.68,376.82,2
34.92,33.1,48.51,2995.26,295.13,1
39.23,25.53,49.93,2272.75,475.19,1
25.1,25.95,38.93,1143.55,496.53,0
24.37,48.95,46.78,1709.85,468.3,1
37.55,44.38,49.81,1080.7,283.83,1
21.26,24.4,40.68,1132.02,409.17,0
26.51,21.61,28.94,2668.29,107.73,0
26.62,20.48,41.67,2385.06,357.93,0
33.72,36.68,25.15,1312.41,157.2,1
56.31,41.44,59.96,2938.64,150.78,2
35.74,22.08,38.61,2801.92,445.86,1
30.11,45.37,37.82,2619.35,367.69,2
32.72,32.61,44.88,2852.77,218.12,0
52.88,43.33,40.91,2203.61,226.15,2
37.43,42.33,45.34,2674.24,455.81,1
42.36,28.59,28.11,2883.38,187.48,1
39.87,25.63,41.01,1554.03,283.33,1
40.04,39.78,42.02,2392.31,489.35,1
56.01,48.5,62.32,2656.88,446.57,2
35.31,26.6,42.6,1178.58,117.56,0
12.88,14.14,40.55,1697.64,308.52,0
22.98,17.71,24.48,2819.89,283.87,0
25.34,22.85,42.71,1720.47,311.86,0
44.16,39.54,42.0,2568.81,339.72,2
25.44,19.97,23.93,2154.56,482.72,0
40.95,34.18,64.9,2169.09,167.95,2
43.6,36.93,67.51,1432.67,325.56,2
28.68,22.32,44.13,2616.47,150.22,0
39.54,49.08,42.86,2795.87,120.46,2
24.59,31.48,33.12,2147.06,247.93,0
37.98,31.65,42.49,1429.83,214.61,1
24.86,27.93,34.1,1017.73,144.6,0
40.76,47.82,55.0,2262.92,267.64,2
45.77,54.38,59.85,2743.83,239.98,2
41.21,25.9,21.28,1822.38,222.59,1
27.3,33.53,58.1,2399.28,449.63,1
32.69,49.42,64.7,1248.69,498.61,2
56.66,51.23,62.94,1801.41,321.89,2
39.76,39.0,58.18,2161.9,293.27,1
25.69,27.97,39.92,1189.84,154.86,1
24.84,31.17,61.84,2716.05,209.46,1
39.03,41.02,54.64,1846.67,183.02,1
43.09,39.57,58.72,2287.91,328.11,2
41.85,44.67,40.88,2299.02,357.9,1
40.83,50.47,45.06,2208.72,288.66,2
36.43,48.89,41.72,1761.9,184.04,2
40.5,49.02,69.64,2460.44,293.32,2
37.0,27.3,43.22,1302.86,339.74,2
41.21,38.3,56.47,2198.6,419.09,1
39.09,28.49,33.67,2992.32,161.97,1
33.66,39.32,53.71,1153.94,349.05,1
22.71,18.27,35.65,2656.94,434.19,0
32.05,40.81,45.03,1260.16,428.95,1
30.21,28.25,49.26,1067.35,193.0,1
25.82,46.41,62.84,2112.93,128.46,2
24.48,30.17,40.57,1746.25,211.46,1
20.23,31.87,38.13,2040.34,156.32,0
20.87,30.55,41.43,2532.23,338.05,0
22.24,26.63,34.58,1750.66,381.02,0
31.33,41.49,54.41,1440.98,393.84,2
31.13,25.9,37.99,1285.7,265.46,0
26.0,23.88,41.75,2606.97,438.82,0
35.73,24.85,48.9,2153.4,325.36,1
22.67,19.1,30.71,1598.79,385.28,0
36.75,29.99,34.29,2381.77,214.28,1
43.32,43.83,57.52,1690.96,497.01,2
10.39,24.16,35.04,2295.63,293.63,0
51.71,60.32,63.33,2766.55,101.67,2
31.07,45.98,58.98,2109.37,153.27,2
20.61,28.17,26.64,2317.08,312.38,0
46.93,49.98,68.75,1122.89,109.6,2
48.97,39.77,39.38,2394.27,470.85,1
30.26,27.86,48.5,1778.46,231.29,1
15.67,21.96,41.28,2529.06,247.48,0
60.52,41.97,34.29,2533.05,119.48,2
20.86,29.75,31.68,2957.96,126.28,0
47.43,59.9,62.11,2566.94,319.44,2
38.48,26.34,44.94,2335.52,438.05,1
45.39,32.42,71.54,2592.48,234.11,1
40.18,47.86,68.02,1755.68,149.31,2
28.17,35.98,67.14,1453.55,320.21,2
23.33,25.41,53.51,1867.63,422.79,0
41.53,36.34,64.82,1932.36,158.13,2
39.75,34.61,51.02,2082.23,298.5,2
41.18,38.62,59.68,1791.87,316.51,2
28.13,33.78,56.01,2193.7,404.98,1
23.87,27.05,42.0,2691.84,103.97,0
34.67,56.52,63.49,2190.46,212.24,2
24.5,26.75,30.48,2506.86,297.15,0
31.71,30.6,43.87,1381.85,128.41,1
42.05,36.82,34.82,1519.15,219.75,1
40.41,53.78,42.99,1326.73,178.52,2
30.8,25.72,50.46,1864.69,419.32,1
35.0,37.86,33.1,1528.12,426.79,1
32.46,24.34,37.02,1155.3,371.02,0
28.83,27.57,41.79,2480.95,149.75,0
43.95,51.98,45.68,2296.47,266.18,2
27.4,38.6,34.99,2173.87,297.03,1
35.6,25.95,44.61,2608.83,191.93,1
27.91,23.17,35.54,2786.18,362.94,0
80.34,26.55,34.32,1631.55,323.15,2
47.63,42.42,50.14,1375.84,458.95,1
40.87,29.66,38.39,1038.29,369.11,1
40.53,28.3,36.66,2758.37,151.87,1
39.87,38.2,50.84,2260.19,155.99,2
32.5,29.63,47.8,1103.98,116.02,1
45.7,49.23,43.17,1109.13,396.91,2
47.27,61.36,44.13,1884.07,295.86,2
44.81,33.36,46.9,2349.57,328.35,1
46.27,50.49,50.49,2403.48,124.82,2
37.95,25.11,34.64,2522.08,178.77,0
27.42,17.97,26.39,2685.42,300.24,0
38.24,37.95,38.79,2432.79,184.49,1
40.8,51.84,86.55,2468.73,318.77,2
21.36,30.01,32.93,2365.23,317.79,0
36.46,38.43,59.04,1792.63,263.87,2
23.16,19.66,37.97,2280.95,221.17,0
38.42,44.16,73.34,1678.61,198.34,2
26.23,46.71,37.19,1482.99,132.91,1
17.81,33.48,40.24,1125.38,124.88,0
39.08,49.7,38.0,1773.41,330.85,2
31.11,23.81,34.08,2693.94,184.8,0
21.93,32.11,63.51,1062.3,230.5,1
18.73,23.7,33.5,2001.25,217.32,0
25.61,24.31,24.0,1285.75,348.97,0
32.76,35.53,50.86,1358.71,246.96,1
52.82,55.8,50.4,2297.53,139.37,2
19.51,46.42,44.19,2251.3,109.58,2
21.77,21.73,43.21,2645.07,246.27,0
