upper_force,lower_force,displacement,velocity,temp_1,temp_2,temp_3,temp_4,temp_5,stroke_length,dwell_time,forming_energy,quality
222.98,160.35,16.03,53.54,86.94,98.22,101.55,90.2,78.44,33.62,2.3,163.71,0
165.71,166.09,37.74,48.81,97.93,80.12,83.64,72.14,90.64,38.07,2.03,161.68,0
180.97,162.1,17.4,62.56,78.01,103.9,102.31,89.08,73.16,41.21,2.09,147.92,0
228.86,185.54,23.93,12.5,86.74,81.44,89.43,85.54,86.45,35.72,2.52,156.43,0
202.93,164.8,20.82,66.0,87.09,87.57,103.09,80.01,68.77,35.09,3.14,139.8,0
188.52,143.65,15.04,37.18,117.71,80.82,77.46,87.17,78.38,37.23,1.87,125.46,0
210.16,120.86,-0.36,32.76,89.73,95.35,72.3,92.64,71.9,39.72,2.78,181.82,0
206.16,183.86,26.28,42.0,130.42,89.94,91.36,102.69,72.41,37.85,3.19,182.14,1
239.59,249.5,52.37,57.38,92.97,123.97,81.95,101.39,61.27,42.36,2.79,152.9,1
192.12,188.74,15.42,51.59,112.94,94.74,75.39,76.98,82.11,36.04,1.94,175.39,0
163.15,120.05,29.96,56.71,94.74,112.71,100.83,97.74,75.97,32.77,2.44,118.51,0
204.35,152.83,23.64,51.69,91.82,110.29,90.55,69.43,97.27,38.79,2.57,138.52,0
209.23,172.61,30.35,68.66,102.64,95.91,85.45,90.74,68.12,35.12,3.33,145.01,0
224.7,149.24,22.76,21.98,85.3,101.05,98.53,71.52,77.18,36.16,1.59,138.78,0
175.67,147.9,17.06,64.0,108.56,87.87,81.63,79.0,70.76,39.63,1.94,137.48,0
170.15,126.04,29.06,62.13,66.65,100.27,83.13,102.65,76.76,37.68,2.52,161.12,0
221.32,131.68,32.76,61.76,87.44,103.35,80.61,83.98,70.56,29.37,2.23,133.82,0
211.29,138.25,27.33,48.32,125.83,150.44,119.26,119.09,83.17,36.49,2.73,197.64,1
241.87,110.06,32.59,41.43,133.39,117.19,117.5,116.6,113.5,30.33,2.37,181.39,1
196.29,152.57,23.47,51.63,99.32,80.49,80.9,87.42,68.67,36.98,1.64,134.0,0
274.33,208.65,14.31,16.84,138.49,143.34,136.47,91.88,78.06,29.86,2.29,146.75,1
260.05,169.05,45.76,49.48,104.63,91.34,132.48,114.24,97.21,34.56,2.32,176.35,1
187.07,167.67,23.97,51.15,107.75,91.22,75.19,74.82,72.78,40.82,2.56,151.05,0
198.08,133.54,29.7,50.1,117.29,108.44,100.5,96.89,88.85,41.37,2.97,200.61,0
167.08,172.18,14.68,45.57,123.86,85.86,97.66,96.77,89.23,40.11,3.0,142.05,0
161.9,193.78,12.64,52.24,118.83,84.28,74.32,67.82,81.15,34.2,2.42,124.82,0
185.86,137.55,24.82,25.64,105.25,100.49,85.97,90.43,81.92,39.42,3.14,126.34,0
182.09,168.08,31.46,71.78,105.12,91.76,80.21,99.36,93.97,34.83,2.97,140.31,0
190.39,188.61,22.83,70.35,89.1,79.25,88.84,83.4,87.74,33.45,2.7,123.77,0
271.83,166.25,9.82,22.01,124.28,131.92,99.9,103.26,85.71,44.89,1.78,158.81,1
209.05,173.52,25.03,25.49,85.03,90.82,77.28,63.47,70.74,42.58,2.23,149.64,0
201.04,171.83,19.5,44.51,109.69,85.81,103.49,92.53,76.68,34.53,3.52,140.99,0
244.95,152.64,17.52,27.91,128.61,110.12,118.07,90.11,95.0,22.26,4.16,135.66,1
174.1,158.67,30.67,72.51,107.21,81.81,100.85,95.32,87.37,38.1,3.07,108.56,0
189.03,143.33,20.85,60.13,112.77,82.69,84.43,88.42,82.87,27.89,1.74,143.1,0
138.05,172.41,30.83,34.78,135.07,85.88,95.48,89.1,78.23,34.5,2.17,196.11,0
300.61,195.78,20.96,28.28,131.82,118.6,111.81,128.51,86.73,43.66,3.55,89.44,1
205.17,126.67,38.09,58.88,118.28,110.47,89.36,93.44,67.84,35.51,2.94,140.07,0
194.52,142.2,35.18,38.9,79.66,97.23,76.95,67.62,71.86,33.27,2.7,164.8,0
232.46,150.29,21.23,54.38,71.43,102.71,98.22,88.39,85.96,32.04,2.44,132.14,0
146.41,165.27,-0.41,42.23,93.7,103.2,125.29,82.52,86.44,32.11,1.53,174.65,0
209.49,149.77,30.48,36.37,100.56,85.23,80.02,79.41,77.7,36.66,2.05,152.06,0
189.52,181.25,19.74,66.3,120.66,98.04,70.65,103.52,86.33,37.55,2.05,147.64,0
137.73,144.25,9.71,55.93,96.58,100.9,71.61,84.05,78.62,30.59,1.76,158.15,0
204.78,131.16,23.87,32.31,86.6,105.82,89.48,83.2,80.48,35.91,2.65,162.71,0
171.24,221.8,26.68,65.36,113.78,133.76,120.41,99.4,109.97,25.22,3.86,172.64,1
153.72,173.16,16.7,52.37,105.08,106.61,105.39,89.75,82.88,35.51,2.78,152.29,0
204.2,137.48,28.58,80.57,85.02,80.32,74.29,88.63,79.17,31.05,2.24,129.47,0
214.63,177.9,28.8,47.15,133.47,89.2,87.02,89.51,70.58,37.16,2.72,121.87,0
195.5,100.71,30.16,56.61,87.81,99.83,89.65,95.58,75.05,33.08,2.79,162.14,0
195.07,140.94,29.25,46.2,125.07,78.86,91.95,78.97,60.92,32.82,2.33,167.14,0
168.01,193.91,1.69,55.24,73.8,111.44,95.18,77.96,81.54,40.72,1.59,184.93,0
240.88,176.44,42.48,55.47,97.56,66.46,103.66,82.85,76.81,36.46,1.54,118.7,0
216.52,151.43,21.13,86.02,78.93,112.6,84.56,72.12,77.17,34.15,2.59,145.97,0
204.81,218.73,25.65,66.26,128.33,90.84,75.04,98.11,90.28,34.27,2.74,178.67,0
145.07,127.32,29.7,54.31,66.01,79.59,72.06,72.64,79.74,40.05,2.41,172.99,0
266.18,167.0,35.74,51.49,129.78,101.31,123.32,112.82,82.9,40.3,3.25,180.97,1
171.72,104.24,29.02,61.43,87.08,92.87,80.63,87.55,72.43,29.13,2.67,163.56,0
206.38,172.29,29.62,62.59,112.8,103.39,91.79,75.9,95.22,34.81,2.35,135.35,0
200.54,164.2,23.89,45.33,96.9,84.76,85.16,89.45,76.54,31.72,2.08,138.74,0
212.72,195.88,17.04,32.56,100.51,80.97,95.51,77.28,78.6,31.25,3.26,186.96,0
157.01,211.05,32.43,49.82,131.58,110.85,81.46,89.71,73.64,31.19,3.0,113.16,0
237.13,145.08,20.44,55.51,75.0,107.45,97.07,85.88,80.84,31.5,3.31,145.66,0
294.56,130.33,37.99,71.32,101.08,99.38,96.87,77.99,84.9,27.15,2.81,166.45,0
239.11,121.82,24.89,60.63,104.82,98.68,94.81,73.48,79.81,40.64,2.47,133.09,0
165.47,133.25,25.68,52.47,108.86,99.43,91.4,88.73,88.97,28.98,3.04,127.86,0
249.1,182.27,49.19,47.33,136.8,105.6,111.5,92.64,83.64,42.87,2.95,168.23,1
197.17,197.65,19.7,43.44,135.98,119.54,126.34,95.98,108.17,49.08,2.33,112.55,1
176.82,170.44,24.61,45.78,115.3,73.48,88.51,80.82,79.82,36.01,2.29,126.86,0
143.31,201.93,12.2,61.1,120.05,97.25,95.16,91.63,76.72,31.0,2.0,181.75,0
217.58,189.34,19.75,49.32,103.74,99.69,98.01,88.06,82.25,46.53,2.46,155.18,0
297.29,160.63,30.16,51.87,102.41,120.75,91.8,82.73,64.22,28.96,3.08,131.55,0
171.47,144.66,12.34,45.89,105.06,68.36,79.61,70.93,81.21,36.56,3.2,151.17,0
181.1,144.06,14.27,51.19,94.84,83.76,93.6,94.95,65.21,42.31,2.7,154.11,0
136.02,182.3,31.37,66.38,74.88,103.81,89.56,96.8,99.35,33.09,1.59,189.65,0
180.85,166.08,31.7,23.88,97.48,80.64,80.78,82.74,74.56,34.38,2.57,157.33,0
128.29,192.1,18.22,55.2,122.5,76.48,91.63,66.72,85.78,39.53,1.74,152.87,0
242.62,157.35,23.31,55.3,128.01,84.39,114.52,78.62,86.15,33.56,2.48,168.93,0
203.1,140.52,30.28,39.19,90.2,96.4,69.68,74.37,72.57,32.0,2.52,159.4,0
193.32,170.49,27.36,63.99,121.63,94.46,81.94,66.64,90.31,37.27,2.39,164.54,0
232.08,234.07,0.5,-4.54,143.23,112.22,145.24,113.73,97.74,44.0,3.05,209.16,1
209.59,180.99,29.7,48.37,103.6,110.22,106.05,94.72,71.6,38.47,2.38,162.51,0
267.54,110.81,36.75,75.18,108.84,133.67,120.76,87.71,73.17,38.37,2.86,162.58,1
197.63,114.47,15.57,56.7,117.58,88.46,97.3,88.33,92.93,40.08,3.48,133.87,0
213.34,166.96,32.64,34.03,101.61,101.07,109.92,76.0,75.26,41.76,2.51,157.62,0
242.54,184.32,21.94,32.42,133.72,124.29,109.05,92.54,91.79,42.99,3.97,208.02,1
194.55,133.01,24.54,28.8,92.23,110.22,101.63,112.92,89.06,41.05,2.85,145.47,0
251.1,158.56,34.62,71.23,112.31,108.5,89.03,75.88,72.47,32.03,3.04,146.96,0
265.1,170.26,25.33,61.28,128.03,105.0,87.17,77.86,74.36,31.06,2.71,160.45,0
206.77,122.9,23.73,25.02,75.73,101.26,92.47,78.94,82.6,30.36,2.35,140.21,0
198.95,155.98,21.25,61.24,84.37,107.23,75.66,97.11,86.48,39.48,2.44,158.32,0
189.2,149.58,44.11,69.58,110.46,92.34,88.27,88.06,81.13,29.71,3.21,136.3,0
188.84,168.11,38.31,59.8,124.8,107.78,95.01,69.67,83.52,27.51,2.29,129.45,0
189.83,149.18,32.61,81.77,99.73,105.92,81.36,108.69,96.43,32.05,3.38,178.68,0
163.31,140.57,2.34,52.74,107.86,117.56,82.34,92.7,93.78,36.94,1.67,180.29,0
176.54,149.41,32.39,30.52,77.82,73.35,85.71,80.79,82.62,26.28,2.46,179.33,0
214.91,165.85,11.47,50.91,81.58,92.04,82.92,73.66,68.68,46.07,2.4,166.4,0
200.22,148.03,28.28,53.47,103.08,83.85,97.49,79.97,69.44,31.86,2.01,160.74,0
181.01,105.71,21.51,69.08,81.85,81.04,97.27,92.13,64.75,35.41,2.42,177.82,0
174.48,113.52,28.97,65.86,96.13,78.05,72.74,88.95,86.27,35.97,1.73,157.85,0
215.46,125.14,33.39,52.59,94.52,92.41,81.6,66.27,76.23,27.78,2.47,147.47,0
202.6,126.19,25.12,70.73,95.0,121.36,93.96,84.59,96.62,33.11,1.84,171.43,0
178.43,201.41,17.47,25.67,105.97,83.73,83.71,74.41,89.32,38.85,2.31,177.12,0
206.73,174.89,27.85,62.77,85.73,94.24,98.12,83.53,72.6,24.95,2.25,108.7,0
210.86,172.41,31.07,103.28,114.76,134.18,108.82,85.7,100.38,37.9,2.6,193.0,1
332.9,118.4,37.64,12.85,131.31,112.76,93.09,102.67,102.35,27.88,2.43,117.47,1
206.73,197.42,25.93,67.63,86.64,111.15,98.65,99.95,79.8,40.97,2.26,157.75,0
183.32,162.56,23.43,19.24,102.99,98.36,106.06,69.27,77.33,37.81,2.45,123.1,0
248.73,198.41,16.75,54.46,145.83,108.39,100.23,100.05,92.09,39.18,3.97,167.36,1
174.31,183.53,26.18,58.59,73.71,81.82,76.85,77.0,67.58,23.23,1.92,157.25,0
232.05,148.63,13.86,63.25,100.88,98.49,110.64,95.75,80.94,47.92,3.03,139.34,0
185.35,165.42,30.95,43.69,98.28,108.27,101.87,77.38,63.64,39.86,2.51,152.29,0
218.09,179.95,29.15,34.96,146.47,89.1,90.32,94.32,86.18,35.79,2.83,141.35,0
137.41,168.99,27.86,42.36,75.65,81.39,84.03,96.79,78.09,34.8,3.62,125.01,0
222.83,206.23,44.14,64.4,93.75,89.36,88.73,88.95,71.71,36.64,2.77,126.7,0
197.42,178.3,25.74,41.09,110.73,92.25,98.98,102.3,85.72,27.79,3.08,161.62,0
179.13,200.74,23.19,59.65,98.43,77.89,70.58,104.67,84.62,35.74,2.64,153.4,0
205.75,170.32,35.03,66.63,76.78,94.98,73.19,64.85,80.64,39.53,2.26,156.46,0
204.29,166.55,38.99,49.4,83.29,95.24,87.3,91.63,65.95,43.09,2.64,152.48,0
208.43,113.95,33.24,56.19,91.05,78.75,91.87,66.25,62.25,39.94,2.42,170.59,0
217.74,149.89,26.26,45.5,91.12,109.18,93.99,73.46,89.11,31.16,3.03,175.49,0
229.37,116.44,30.37,69.46,107.96,84.37,92.91,77.64,89.32,34.52,2.84,172.47,0
218.45,153.02,32.86,39.53,143.93,122.05,106.77,105.96,86.79,28.47,2.05,163.36,1
164.62,131.07,29.52,64.56,114.31,97.62,117.11,112.22,75.96,29.38,2.62,158.37,0
188.07,158.82,20.14,63.02,85.5,86.62,75.98,73.23,68.46,31.4,2.55,153.7,0
195.46,164.95,35.6,54.1,118.36,99.58,90.33,104.17,90.67,43.76,2.23,154.54,0
278.82,238.6,35.49,95.06,141.55,128.75,97.67,117.32,108.28,29.62,3.96,221.34,1
260.46,139.87,43.22,52.41,123.23,85.55,83.47,93.93,79.43,33.45,3.16,158.0,0
196.34,152.71,21.8,63.1,85.08,108.18,85.34,70.77,76.96,30.08,2.01,138.62,0
140.65,158.49,31.89,72.4,91.39,93.11,89.11,88.55,72.87,34.08,2.01,167.26,0
208.38,133.0,20.28,28.86,80.19,93.24,96.62,108.18,87.56,38.43,2.54,143.77,0
220.79,169.53,30.22,42.3,66.88,90.36,90.58,80.5,77.79,37.84,1.94,155.84,0
178.16,158.42,34.47,54.8,87.46,77.71,85.64,82.69,83.8,36.3,3.42,148.11,0
231.08,167.69,26.82,49.26,107.39,96.55,97.85,70.15,80.63,33.67,3.03,115.98,0
202.2,162.76,16.63,73.79,73.79,122.9,114.41,81.07,68.1,26.1,1.92,120.16,0
181.57,143.19,11.49,52.34,89.25,103.32,103.47,80.69,72.95,44.68,1.4,156.3,0
218.33,187.34,16.53,39.68,116.87,113.79,98.75,105.9,78.07,50.82,2.14,227.37,1
284.44,154.46,25.62,67.97,76.53,83.9,95.64,90.99,88.46,40.94,3.04,161.83,0
158.99,172.52,22.56,72.79,112.34,83.26,88.32,93.92,78.03,32.51,2.6,157.7,0
174.97,186.35,28.9,92.51,135.82,80.87,96.87,105.44,88.97,38.19,2.83,138.98,0
191.6,148.47,30.86,74.73,100.74,84.44,107.53,94.45,82.1,42.96,1.62,165.47,0
225.87,146.56,24.86,47.34,99.75,97.89,107.75,72.14,80.92,40.92,3.46,130.02,0
201.48,169.89,26.24,85.54,125.61,105.95,89.26,92.6,84.46,40.54,2.49,71.55,0
157.31,139.38,30.09,25.36,112.5,66.43,72.22,64.51,77.69,37.78,2.34,157.48,0
196.87,130.58,28.2,57.27,102.15,73.93,84.09,88.86,75.74,30.92,2.61,132.85,0
193.27,147.19,29.29,75.01,92.85,109.37,99.67,95.15,77.88,28.25,1.75,145.67,0
211.1,179.85,29.22,55.2,85.35,92.8,88.73,98.95,81.18,28.73,2.25,115.21,0
169.52,182.51,43.75,80.27,98.7,101.33,89.23,80.0,72.39,31.29,1.66,158.69,0
166.93,130.15,21.48,33.24,102.01,106.55,103.53,80.16,87.99,36.6,3.34,157.37,0
232.73,184.86,16.78,44.71,93.32,92.26,86.91,92.95,87.58,29.66,2.79,158.41,0
206.14,196.3,32.11,80.74,88.4,91.22,77.3,112.1,62.27,35.32,2.28,133.44,0
228.49,138.04,13.22,57.48,75.49,103.22,91.38,100.05,68.43,40.6,1.26,150.04,0
139.78,153.66,28.63,41.16,119.18,94.03,83.71,89.44,76.16,28.77,2.87,128.11,0
269.24,121.42,25.16,50.31,120.43,76.46,81.85,89.0,82.3,32.17,3.29,133.61,0
236.55,100.2,18.05,32.94,117.66,89.68,81.74,89.39,77.8,35.94,2.17,144.64,0
137.67,189.5,27.73,83.5,108.01,99.59,82.58,99.93,66.78,25.23,2.29,166.45,0
114.83,202.98,19.29,50.11,96.7,96.49,90.65,86.66,81.83,36.13,2.46,176.69,0
186.55,122.2,21.64,42.98,91.0,87.02,83.69,82.46,85.78,33.47,1.91,133.93,0
190.23,133.08,45.39,46.64,56.51,91.09,86.58,77.26,87.82,40.89,3.27,142.41,0
194.14,124.18,26.69,46.88,100.01,90.7,78.73,87.64,86.22,37.91,2.9,142.35,0
146.21,185.63,35.88,59.67,102.5,82.95,83.28,109.05,98.03,37.64,2.58,167.84,0
178.28,142.84,14.82,42.24,114.64,94.2,93.1,93.55,75.77,32.7,2.19,147.73,0
196.29,160.68,26.86,49.04,106.05,106.95,84.45,80.35,78.53,26.39,1.89,136.4,0
157.83,179.16,37.86,28.86,103.16,90.87,82.76,84.52,86.31,37.89,2.67,172.17,0
230.62,202.55,16.6,28.5,100.7,115.17,111.84,115.42,95.9,43.46,3.27,186.04,1
267.53,156.25,41.85,49.52,137.93,104.44,111.31,104.73,95.27,38.51,2.71,174.21,1
206.63,197.35,24.71,32.7,81.73,113.32,104.58,93.66,104.33,31.1,4.57,224.82,1
205.36,153.59,14.08,71.38,95.73,90.35,78.8,90.72,80.68,33.56,2.63,154.19,0
185.07,140.19,31.38,68.42,77.49,93.82,76.99,81.33,97.68,29.92,1.94,143.23,0
201.18,151.32,27.0,41.23,104.03,86.35,82.67,101.66,90.88,24.19,2.28,173.81,0
239.76,146.17,24.01,48.83,97.79,76.05,97.32,89.85,77.82,35.34,1.65,159.09,0
208.61,182.15,20.69,38.05,92.53,75.3,75.08,87.36,65.33,33.78,2.17,129.89,0
188.38,89.06,25.99,97.36,83.54,116.41,96.49,85.6,73.19,38.6,2.68,144.59,0
172.46,150.68,36.11,35.9,109.19,99.73,66.15,84.61,78.58,34.14,2.08,164.04,0
178.56,131.97,28.89,57.98,109.18,119.69,81.4,77.27,75.53,34.43,2.59,137.45,0
197.36,158.57,25.81,69.55,91.79,98.59,111.22,91.68,90.71,42.84,1.97,137.99,0
256.93,162.15,23.15,39.61,108.69,87.8,98.9,91.35,74.79,28.18,2.29,144.36,0
229.88,135.89,20.99,38.38,124.35,112.1,80.68,67.79,76.08,38.46,2.71,181.79,0
248.44,165.67,22.45,44.33,132.68,95.99,76.28,83.71,78.54,33.22,2.41,124.31,0
184.47,157.49,26.61,51.79,104.53,93.66,69.35,97.99,78.61,33.12,2.56,116.24,0
220.79,151.23,19.08,52.45,85.87,101.95,109.53,74.61,72.89,40.72,1.95,174.07,0
154.02,157.12,21.32,71.35,108.07,62.56,90.12,77.65,76.16,28.36,3.2,112.34,0
191.48,94.23,16.56,47.35,99.21,78.86,85.79,65.53,76.42,36.18,2.65,150.46,0
230.28,126.08,22.64,53.07,95.23,99.77,93.43,81.25,72.73,33.38,2.81,143.51,0
155.62,156.57,23.16,27.2,68.71,65.15,88.05,84.84,72.83,36.66,2.35,142.13,0
200.68,154.53,25.25,71.87,88.57,98.09,85.85,100.76,88.45,29.06,2.16,128.21,0
205.43,131.81,34.33,38.56,98.95,111.23,90.95,81.62,79.09,33.4,3.25,130.54,0
205.44,180.79,25.37,65.61,77.01,86.57,72.61,87.93,83.02,38.18,2.35,191.08,0
292.64,145.67,31.68,27.89,119.99,117.13,121.72,115.84,81.95,58.4,2.37,174.52,1
201.02,182.28,19.87,27.3,88.49,88.16,98.24,95.22,81.74,28.38,2.35,152.16,0
207.29,145.27,28.99,59.1,82.85,87.15,81.23,90.33,71.38,36.04,2.03,153.61,0
214.43,151.9,21.21,68.14,111.57,87.04,84.73,77.09,76.09,31.91,2.71,179.94,0
215.19,154.65,30.85,39.32,103.96,108.07,93.1,88.34,49.31,37.07,2.08,119.05,0
224.85,163.38,16.86,28.39,109.04,124.98,97.32,84.6,77.1,40.24,2.53,180.37,0
168.72,196.04,48.07,41.62,97.92,92.07,121.87,96.61,96.75,46.68,2.99,149.99,1
161.63,178.91,14.81,58.16,110.84,98.23,86.35,79.47,73.73,32.06,2.51,140.09,0
168.51,166.64,44.15,66.2,101.4,92.3,63.48,77.58,73.59,34.35,2.37,183.53,0
150.86,186.88,16.24,53.06,102.76,88.85,100.11,84.8,88.97,37.39,2.75,166.19,0
226.17,159.86,33.83,43.36,65.44,93.63,109.33,97.83,74.49,38.33,2.91,153.51,0
207.29,181.17,33.98,64.89,94.09,96.73,84.45,99.84,74.57,31.58,2.79,169.84,0
202.39,152.26,21.74,55.69,94.63,92.32,108.2,111.07,101.59,37.96,3.17,134.43,0
205.96,208.63,27.31,50.85,88.33,99.05,86.41,76.22,72.1,32.72,2.7,157.9,0
209.65,156.7,8.6,47.23,79.28,88.82,68.9,69.86,88.24,30.06,1.98,157.22,0
193.18,204.97,42.24,60.51,84.46,99.33,92.82,80.81,82.27,32.22,2.18,141.47,0
188.19,131.85,25.27,42.72,102.09,94.91,80.06,91.09,79.43,38.71,2.43,155.38,0
218.12,134.0,24.72,82.02,90.94,90.64,91.58,95.47,81.21,28.35,2.54,162.8,0
215.64,183.24,9.41,54.86,85.32,77.74,81.09,84.42,76.32,32.22,3.3,108.93,0
211.11,153.01,17.06,37.14,116.03,111.86,119.69,94.76,81.43,62.41,1.67,158.75,1
212.65,153.28,24.34,47.29,94.24,90.16,66.5,114.43,57.2,43.15,2.42,130.56,0
171.56,141.33,20.39,55.93,121.18,96.68,83.93,83.82,77.39,30.36,2.12,137.26,0
225.49,111.26,33.32,47.5,90.54,85.37,89.73,76.77,69.85,31.15,2.67,162.3,0
217.58,163.86,7.57,61.47,97.72,87.46,116.67,97.29,76.98,31.58,2.96,161.4,0
161.19,121.74,26.03,38.08,88.82,91.07,93.66,98.68,64.62,28.24,3.14,149.37,0
249.61,126.06,36.31,56.66,107.29,100.9,102.24,93.73,86.77,42.92,2.26,179.69,0
205.48,161.19,32.74,72.25,106.63,102.19,99.62,91.7,74.35,37.03,3.19,148.05,0
155.69,186.8,23.85,50.84,91.46,91.33,85.86,79.16,89.3,36.06,2.79,122.31,0
292.03,201.14,18.23,55.02,116.3,127.85,124.25,117.8,93.97,47.08,2.52,184.3,1
208.32,148.56,27.46,29.47,90.47,105.56,90.21,74.44,79.42,35.02,2.89,130.27,0
134.12,165.01,25.66,77.73,107.02,90.93,91.43,84.72,72.29,37.55,1.87,145.38,0
169.04,179.29,18.18,47.52,101.94,101.12,103.59,77.07,76.06,35.61,1.99,149.17,0
190.69,160.81,24.92,53.63,100.38,98.54,103.53,74.24,87.97,26.82,3.19,149.42,0
211.2,169.89,30.78,46.0,104.62,106.51,94.42,73.08,89.37,32.11,2.43,158.25,0
242.87,145.04,22.9,58.84,118.65,105.11,79.12,67.19,74.76,47.53,2.65,120.55,0
211.39,138.89,13.89,55.55,106.7,82.72,87.94,78.39,79.89,37.81,2.27,169.85,0
241.8,137.49,31.32,84.4,117.1,83.59,92.36,77.45,89.12,36.23,3.13,160.85,0
194.11,150.38,29.35,43.78,104.6,99.07,89.07,71.01,65.0,33.56,3.1,119.53,0
205.82,140.53,28.4,98.77,77.59,79.34,86.07,76.66,77.44,43.31,1.5,128.65,0
211.87,200.96,25.28,49.95,81.78,98.62,90.09,75.28,79.38,36.76,1.96,155.6,0
209.33,181.42,23.51,40.41,79.95,85.28,86.1,78.27,84.83,37.62,2.69,143.96,0
204.41,206.79,38.08,24.38,153.71,104.8,104.97,92.02,108.57,49.51,2.3,230.35,1
215.51,179.8,13.86,50.19,77.84,95.37,72.56,80.96,75.85,38.4,2.36,141.38,0
