 유형 , 시도 , 시군 , 단지명 , 조성상태 , 지정면적 , 관리면적 , 전체면적 , 분양대상 , 분양 , 미분양 , 분양률 , 입주업체 , 가동업체 , 고용(남) , 고용(여) , 고용(계) , 누계생산(백만원) , 누계수출(천달러) 
일반,부산,사하구,서부산스마트밸리(구:신평장림) (① + ②),완료,"2,815 ","2,815 ","1,749 ","1,749 ","1,749 ",0 ,100 ,977 ,777 ,"10,551 ","3,836 ","14,387 ","3,163,359 ","1,219,756 "
일반,부산,사하구,   신평ㆍ장림(기존) ①,완료,885 ,885 ,604 ,604 ,604 ,0 ,100 ,430 ,300 ,"4,045 ","1,439 ","5,484 ","1,686,247 ","892,509 "
일반,부산,사하구,   신평ㆍ장림(협동화) ②,완료,"1,930 ","1,930 ","1,145 ","1,145 ","1,145 ",0 ,100 ,547 ,477 ,"6,506 ","2,397 ","8,903 ","1,477,112 ","327,247 "
일반,부산,해운대구,센텀시티,완료,"1,178 ","1,178 ",210 ,210 ,210 ,0 ,100 ,"1,921 ","1,921 ","6,804 ","4,991 ","11,795 ","7,602,732 ","874,502 "
일반,부산,강서구,풍상,완료,61 ,61 ,52 ,52 ,52 ,0 ,100 ,4 ,4 ,161 ,14 ,175 ,"40,174 ","23,826 "
일반,부산,강서구,생곡,완료,538 ,538 ,333 ,333 ,333 ,0 ,100 ,104 ,99 ,956 ,276 ,"1,232 ","785,418 ","71,776 "
일반,부산,강서구,명동지구,조성중,506 ,506 ,325 ,325 ,305 ,20 ,94 ,32 ,2 ,,,,,
일반,부산,강서구,미음지구 (① + ②),완료,"3,548 ","3,548 ","1,926 ","1,926 ","1,730 ",196 ,90 ,384 ,352 ,"7,283 ","1,044 ","8,327 ","3,639,600 ","173,022 "
일반,부산,강서구,   미음(산업단지) ①,완료,"3,249 ","3,249 ","1,627 ","1,627 ","1,593 ",34 ,98 ,377 ,345 ,"6,776 ",961 ,"7,737 ","3,179,100 ","83,250 "
일반,부산,강서구,   미음(외국인) ②,완료,299 ,299 ,299 ,299 ,137 ,162 ,46 ,7 ,7 ,507 ,83 ,590 ,"460,500 ","89,772 "
일반,부산,기장군,동남권방사선의과학,조성중,"1,479 ","1,442 ",704 ,704 ,547 ,157 ,78 ,40 ,18 ,710 ,241 ,951 ,0 ,0 
일반,부산,기장군,부산신소재,완료,256 ,256 ,169 ,169 ,169 ,0 ,100 ,5 ,3 ,337 ,60 ,397 ,"248,010 ","66,216 "
일반,부산,기장군,반룡,완료,547 ,547 ,334 ,334 ,334 ,0 ,100 ,87 ,87 ,783 ,353 ,"1,136 ","99,740 ","3,138 "
일반,부산,기장군,오리,완료,608 ,538 ,393 ,393 ,332 ,61 ,84 ,78 ,65 ,890 ,459 ,"1,349 ","10,730 ",0 
일반,부산,기장군,동부산E-PARK 일반산업단지(구:기장대우),조성중,344 ,344 ,248 ,166 ,166 ,0 ,100 ,3 ,0 ,0 ,0 ,0 ,0 ,0 
일반,부산,기장군,에코장안,완료,201 ,201 ,129 ,129 ,129 ,0 ,100 ,23 ,18 ,367 ,133 ,500 ,"6,030 ",0 
일반,부산,강서구,정주,완료,97 ,97 ,40 ,40 ,40 ,0 ,100 ,2 ,2 ,,,,,
일반,부산,사상구,사상공업지역[재생사업지구],조성중,"3,021 ","3,021 ","1,005 ","1,005 ","1,005 ",0 ,100 ,938 ,938 ,"9,486 ","2,865 ","12,351 ","2,164 ","10,452 "
일반,부산,강서구,성우(구:거화),완료,64 ,63 ,33 ,33 ,33 ,0 ,100 ,18 ,18 ,131 ,25 ,156 ,"6,896 ",252 
일반,부산,기장군,기룡,완료,83 ,83 ,58 ,58 ,58 ,0 ,100 ,1 ,1 ,,,,,
일반,부산,기장군,기룡2,완료,46 ,46 ,33 ,33 ,33 ,0 ,100 ,3 ,2 ,,,,,
일반,부산,기장군,장안,완료,"1,301 ","1,301 ",771 ,771 ,771 ,0 ,100 ,97 ,96 ,"2,985 ",890 ,"3,875 ","702,000 ","235,010 "
일반,부산,기장군,정관,완료,"1,209 ","1,209 ",479 ,479 ,479 ,0 ,100 ,203 ,203 ,"2,721 ",922 ,"3,643 ","673,422 ","283,192 "
일반,부산,기장군,정관코리,완료,84 ,84 ,59 ,59 ,59 ,0 ,100 ,6 ,5 ,125 ,28 ,153 ,"14,240 ",0 
일반,부산,강서구,신호,완료,"3,121 ","3,121 ","1,713 ","1,713 ","1,713 ",0 ,100 ,83 ,83 ,"3,205 ",190 ,"3,395 ","1,700,776 ","292,456 "
일반,부산,강서구,화전지구,완료,"2,448 ","2,448 ","1,424 ","1,424 ","1,424 ",0 ,100 ,312 ,312 ,"5,191 ",961 ,"6,152 ","1,576,168 ","572,442 "
일반,부산,강서구,강서보고,완료,104 ,104 ,51 ,51 ,51 ,0 ,100 ,19 ,19 ,117 ,35 ,152 ,"50,596 ",216 
일반,부산,강서구,지사글로벌,완료,416 ,416 ,197 ,197 ,148 ,49 ,75 ,6 ,6 ,91 ,0 ,91 ,0 ,0 
일반,부산,강서구,강서해성,미개발,104 ,104 ,69 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
일반,부산,강서구,지사2(구 진우),완료,99 ,99 ,48 ,48 ,48 ,0 ,100 ,18 ,18 ,139 ,25 ,164 ,"33,360 ","2,320 "
일반,부산,강서구,부산연구개발특구첨단복합지구,미개발,"1,744 ","1,744 ",522 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
일반,부산,강서구,부산명서일반산업단지,미개발,121 ,121 ,59 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
도시첨단,부산,강서구,부산에코델타시티,조성중,552 ,552 ,306 ,306 ,28 ,278 ,9 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
도시첨단,부산,해운대구,회동.석대,완료,229 ,228 ,127 ,127 ,127 ,0 ,100 ,104 ,104 ,"1,839 ",772 ,"2,611 ","428,148 ","14,082 "
도시첨단,부산,사상구,모라,조성중,11 ,11 ,6 ,6 ,6 ,0 ,100 ,243 ,243 ,"1,349 ",264 ,"1,613 ","256,288 ","7,786 "
도시첨단,부산,북구,금곡,조성중,46 ,46 ,17 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
도시첨단,부산,해운대구,센텀2지구,미개발,"1,912 ","1,913 ",291 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
농공,부산,기장군,정관,완료,258 ,258 ,189 ,189 ,189 ,0 ,100 ,33 ,32 ,"1,274 ",344 ,"1,618 ","306,994 ","39,020 "
국가,대구,달성군,대구국가,조성중,"8,559 ","7,354 ","4,910 ","4,910 ","3,136 ","1,774 ",64 ,297 ,216 ,"5,083 ",912 ,"5,995 ","2,642,509 ","1,369,029 "
일반,대구,달서구,성서1차[재생사업지구],완료,"2,687 ","2,687 ","1,886 ","1,886 ","1,886 ",0 ,100 ,994 ,982 ,"8,582 ","3,630 ","12,212 ","1,752,981 ","171,651 "
일반,대구,달서구,성서2차[재생사업지구:부분],완료,"4,701 ","4,701 ","2,996 ","2,996 ","2,996 ",0 ,100 ,"1,210 ","1,206 ","13,462 ","4,638 ","18,100 ","3,305,078 ","325,204 "
일반,대구,달서구,성서3차,완료,"3,329 ","2,895 ","1,577 ","1,577 ","1,577 ",0 ,100 ,810 ,805 ,"8,001 ","2,479 ","10,480 ","2,117,813 ","297,205 "
일반,대구,달서구,성서4차,완료,432 ,432 ,231 ,231 ,231 ,0 ,100 ,70 ,70 ,"2,634 ","1,009 ","3,643 ","1,152,832 ","459,520 "
일반,대구,달서구,대구출판,완료,242 ,242 ,94 ,94 ,94 ,0 ,100 ,121 ,120 ,647 ,312 ,959 ,"120,122 ","1,696 "
일반,대구,동구,대구이시아폴리스,완료,"1,176 ","1,176 ",169 ,169 ,169 ,0 ,100 ,59 ,58 ,"1,059 ",525 ,"1,584 ","218,257 ","160,617 "
일반,대구,북구,검단,완료,782 ,782 ,570 ,570 ,570 ,0 ,100 ,590 ,582 ,"5,589 ","2,288 ","7,877 ","371,991 ","63,407 "
일반,대구,서구,대구염색[재생사업지구],완료,849 ,849 ,589 ,589 ,589 ,0 ,100 ,127 ,123 ,"3,307 ",988 ,"4,295 ","258,242 ","68,827 "
일반,대구,달성군,달성1차,완료,"4,078 ","4,078 ","2,551 ","2,551 ","2,551 ",0 ,100 ,312 ,291 ,"10,871 ","2,128 ","12,999 ","3,264,608 ","1,132,851 "
일반,대구,달성군,달성2차 (① + ②),완료,"2,705 ","2,377 ","1,482 ","1,482 ","1,482 ",0 ,100 ,294 ,272 ,"3,315 ",818 ,"4,133 ","743,356 ","67,831 "
일반,대구,달성군,   달성2차 ①,완료,"2,601 ","2,273 ","1,378 ","1,378 ","1,378 ",0 ,100 ,288 ,266 ,"3,122 ",777 ,"3,899 ","691,825 ","34,268 "
일반,대구,달성군,   달성2차(외국인) ②,완료,104 ,104 ,104 ,104 ,104 ,0 ,100 ,6 ,6 ,193 ,41 ,234 ,"51,531 ","33,563 "
일반,대구,달성군,대구테크노폴리스,조성중,"7,259 ","7,259 ","2,892 ","2,892 ","2,139 ",753 ,74 ,79 ,79 ,"2,742 ",578 ,"3,320 ","331,320 ","36,034 "
일반,대구,달성군,성서5차첨단,완료,"1,470 ","1,407 ",684 ,684 ,684 ,0 ,100 ,129 ,128 ,"3,553 ",881 ,"4,434 ","1,040,558 ","325,395 "
일반,대구,북구,대구제3[재생사업지구],완료,"1,685 ","1,684 ","1,284 ","1,284 ","1,284 ",0 ,100 ,"2,482 ","2,482 ","6,511 ","2,035 ","8,546 ","791,971 ","11,777 "
일반,대구,달성군,대성하이스코(구: 달성대성하이스코),완료,57 ,57 ,40 ,40 ,28 ,12 ,70 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
일반,대구,북구,금호워터폴리스,조성중,"1,193 ","1,185 ",339 ,44 ,25 ,19 ,57 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
일반,대구,서구,서대구[재생사업지구],완료,"2,662 ","2,661 ","1,285 ","1,285 ","1,285 ",0 ,100 ,"2,585 ","2,515 ","9,980 ","6,890 ","16,870 ","1,361,695 ","75,633 "
도시첨단,대구,동구,대구신서혁신도시(공공주택지구)도시첨단,완료,149 ,149 ,98 ,98 ,28 ,70 ,29 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
도시첨단,대구,동구,율하,조성중,167 ,167 ,99 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
도시첨단,대구,북구,경북대캠퍼스혁신파크,미개발,29 ,29 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
농공,대구,달성군,구지,완료,193 ,193 ,160 ,160 ,160 ,0 ,100 ,22 ,22 ,484 ,68 ,552 ,"130,487 ","4,329 "
농공,대구,달성군,옥포,완료,162 ,162 ,130 ,130 ,130 ,0 ,100 ,49 ,49 ,328 ,195 ,523 ,"51,161 ","11,298 "
농공,대구,군위군,군위,완료,301 ,301 ,222 ,222 ,222 ,0 ,100 ,33 ,30 ,509 ,168 ,677 ,"98,875 ","4,812 "
농공,대구,군위군,효령,완료,112 ,112 ,99 ,99 ,99 ,0 ,100 ,14 ,12 ,129 ,31 ,160 ,"36,000 ","2,600 "
국가,인천,남동구,남동[재생사업지구],완료,"9,574 ","9,574 ","5,849 ","5,849 ","5,849 ",0 ,100 ,"8,045 ","7,753 ","59,429 ","20,818 ","80,247 ","15,748,314 ","1,829,919 "
국가,인천,부평구,한국수출산업 (① + ②),완료,"1,786 ","1,785 ","1,452 ","1,452 ","1,452 ",0 ,100 ,"3,325 ","3,318 ","18,371 ","8,485 ","26,856 ","5,132,434 ","1,867,051 "
국가,인천,부평구,   부평 ①,완료,609 ,609 ,522 ,522 ,522 ,0 ,100 ,"1,863 ","1,859 ","8,363 ","4,466 ","12,829 ","2,396,760 ","1,028,931 "
국가,인천,서구,   주안 ②,완료,"1,177 ","1,176 ",930 ,930 ,930 ,0 ,100 ,"1,462 ","1,459 ","10,008 ","4,019 ","14,027 ","2,735,675 ","838,120 "
일반,인천,미추홀구,인천기계,완료,350 ,350 ,291 ,291 ,291 ,0 ,100 ,179 ,177 ,"1,902 ",564 ,"2,466 ","148,412 ","8,016 "
일반,인천,미추홀구,인천,완료,"1,136 ","1,136 ","1,001 ","1,001 ","1,001 ",0 ,100 ,603 ,603 ,"5,242 ","2,289 ","7,531 ","2,836,908 ","108,310 "
일반,인천,서구,뷰티풀파크(구:인천검단),완료,"2,251 ","2,250 ","1,381 ","1,381 ","1,341 ",40 ,97 ,"1,283 ","1,279 ","8,411 ","2,824 ","11,235 ","1,126,086 ","24,589 "
일반,인천,서구,인천서부,완료,939 ,938 ,770 ,770 ,770 ,0 ,100 ,297 ,291 ,"2,617 ",609 ,"3,226 ","721,118 ","168,385 "
일반,인천,서구,청라1지구,완료,194 ,194 ,129 ,129 ,129 ,0 ,100 ,35 ,35 ,503 ,193 ,696 ,"85,920 ","5,178 "
일반,인천,연수구,송도지식정보,완료,"2,402 ","2,400 ",657 ,657 ,614 ,43 ,93 ,137 ,89 ,"6,838 ","2,469 ","9,307 ","1,440,000 ","537,600 "
일반,인천,강화군,강화하점,완료,59 ,59 ,43 ,43 ,43 ,0 ,100 ,11 ,10 ,93 ,58 ,151 ,"13,591 ",0 
일반,인천,강화군,강화,완료,462 ,462 ,320 ,320 ,320 ,0 ,100 ,82 ,67 ,665 ,207 ,872 ,"148,077 ","28,357 "
일반,인천,계양구,서운,완료,525 ,525 ,315 ,315 ,315 ,0 ,100 ,70 ,69 ,"4,209 ",755 ,"4,964 ","629,172 ","193,818 "
일반,인천,서구,인천서부자원순환특화,완료,56 ,56 ,38 ,38 ,38 ,0 ,100 ,23 ,20 ,87 ,14 ,101 ,"5,600 ",0 
일반,인천,서구,I-FoodPark,조성중,283 ,273 ,172 ,172 ,172 ,0 ,100 ,84 ,69 ,792 ,660 ,"1,452 ","70,280 ",38 
일반,인천,중구,영종항공(인천경제자유구역),조성중,495 ,495 ,320 ,320 ,0 ,320 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
일반,인천,계양구,계양,조성중,243 ,243 ,131 ,131 ,100 ,31 ,76 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
일반,인천,서구,인천검단2일반산업단지,미개발,770 ,770 ,442 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
도시첨단,인천,서구,IHP(인천경제자유구역),완료,"1,171 ","1,165 ",645 ,645 ,416 ,229 ,65 ,515 ,413 ,"1,116 ",749 ,"1,865 ","189,768 ","31,644 "
도시첨단,인천,남동구,남동,미개발,233 ,234 ,79 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
도시첨단,인천,계양구,인천계양테크노밸리도시첨단산업단지,미개발,347 ,347 ,192 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
국가,광주,북구,광주첨단과학 (① + ②),완료,"9,991 ","3,645 ","2,643 ","2,643 ","2,643 ",0 ,100 ,"2,448 ","2,035 ","12,170 ","6,306 ","18,476 ","3,499,427 ","1,534,018 "
국가,광주,북구,   광주첨단과학(1단계) ①,완료,"7,931 ","2,430 ","1,901 ","1,901 ","1,901 ",0 ,100 ,"2,448 ","2,035 ","12,170 ","6,306 ","18,476 ","3,499,427 ","1,534,018 "
국가,광주,북구,   광주첨단과학(2단계) ②,완료,"2,060 ","1,215 ",742 ,742 ,742 ,0 ,100 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
국가,광주,광산구,빛그린 (①),완료,"1,845 ","1,696 ","1,413 ","1,372 ","1,161 ",211 ,85 ,6 ,95 ,"1,046 ",94 ,"1,140 ","87,209 ","1,824 "
국가,광주,광산구,   빛그린(광주광역시 구역) ①,완료,"1,845 ","1,696 ","1,413 ","1,372 ","1,161 ",211 ,85 ,6 ,95 ,"1,046 ",94 ,"1,140 ","87,209 ","1,824 "
일반,광주,광산구,평동 (① + ②),완료,"5,049 ","5,047 ","3,372 ","3,372 ","3,372 ",0 ,100 ,703 ,702 ,"11,079 ","3,774 ","14,853 ","5,751,254 ","4,000,882 "
일반,광주,광산구,   평동 ①,완료,"4,950 ","4,948 ","3,273 ","3,273 ","3,273 ",0 ,100 ,697 ,697 ,"10,896 ","3,754 ","14,650 ","5,691,074 ","3,975,022 "
일반,광주,광산구,   평동(월전중소협력외국인) ②,완료,99 ,99 ,99 ,99 ,99 ,0 ,100 ,6 ,5 ,183 ,20 ,203 ,"60,180 ","25,860 "
일반,광주,광산구,소촌,완료,190 ,189 ,106 ,106 ,106 ,0 ,100 ,64 ,64 ,433 ,111 ,544 ,"24,022 ",264 
일반,광주,남구,송암,완료,415 ,414 ,304 ,304 ,304 ,0 ,100 ,64 ,64 ,"1,380 ",128 ,"1,508 ","53,182 ",0 
일반,광주,북구,본촌,완료,877 ,878 ,766 ,766 ,766 ,0 ,100 ,146 ,135 ,"1,452 ",646 ,"2,098 ","452,180 ","28,390 "
일반,광주,광산구,진곡,완료,"1,909 ","1,909 ",998 ,998 ,998 ,0 ,100 ,424 ,360 ,"3,666 ",960 ,"4,626 ","1,863,110 ","15,668 "
일반,광주,광산구,평동3차(1단계),완료,"1,175 ","1,175 ",652 ,652 ,652 ,0 ,100 ,152 ,128 ,"3,051 ","1,357 ","4,408 ","254,224 ","27,536 "
일반,광주,남구,광주에너지밸리,조성중,918 ,918 ,345 ,345 ,226 ,119 ,66 ,33 ,0 ,0 ,0 ,0 ,0 ,0 
일반,광주,광산구,하남[재생사업지구:부분],완료,"5,922 ","5,920 ","4,451 ","4,451 ","4,451 ",0 ,100 ,"1,092 ","1,091 ","16,883 ","4,337 ","21,220 ","6,398,183 ","1,280,606 "
일반,광주,북구,광주연구개발특구첨단3지구(광주경제자유구역),조성중,"3,629 ","3,617 ","1,136 ",0 ,0 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,0 
도시첨단,광주,남구,남구,조성중,486 ,486 ,221 ,221 ,171 ,50 ,77 ,7 ,5 ,40 ,20 ,60 ,0 ,0 
도시첨단,광주,북구,전남대캠퍼스혁신파크,미개발,35 ,35 ,21 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
농공,광주,광산구,소촌,완료,324 ,324 ,262 ,262 ,262 ,0 ,100 ,80 ,80 ,"1,480 ",310 ,"1,790 ","255,224 ","2,966 "
국가,대전,유성구,대덕연구개발특구,조성중,"49,714 ","49,714 ","23,762 ","20,478 ","20,478 ",0 ,100 ,"1,860 ","1,839 ","30,364 ","9,722 ","40,086 ","5,402,609 ","1,106,056 "
일반,대전,동구,하소친환경,완료,306 ,306 ,152 ,152 ,152 ,0 ,100 ,65 ,58 ,371 ,195 ,566 ,"94,754 ",966 
일반,대전,대덕구,대전산업단지[재생사업지구] (① + ② + ③),완료,"2,317 ","2,317 ","1,643 ","1,643 ","1,643 ",0 ,100 ,"1,085 ",888 ,"4,757 ","1,763 ","6,520 ","1,745,405 ","337,684 "
일반,대전,대덕구,   대전제1 ①,완료,470 ,470 ,400 ,400 ,400 ,0 ,100 ,190 ,170 ,"1,080 ",409 ,"1,489 ","393,077 ","64,715 "
일반,대전,대덕구,   대전제2 ②,완료,735 ,735 ,649 ,649 ,649 ,0 ,100 ,683 ,525 ,"2,753 ","1,126 ","3,879 ","1,208,660 ","262,584 "
일반,대전,대덕구,   대전(주변지역) ③,완료,"1,112 ","1,112 ",594 ,594 ,594 ,0 ,100 ,212 ,193 ,924 ,228 ,"1,152 ","143,668 ","10,385 "
일반,대전,서구,평촌,조성중,855 ,854 ,484 ,28 ,28 ,0 ,100 ,3 ,0 ,0 ,0 ,0 ,0 ,0 
도시첨단,대전,대덕구,한남대캠퍼스혁신파크,미개발,31 ,32 ,20 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
도시첨단,대전,유성구,대전장대,미개발,73 ,73 ,24 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
국가,울산,남구,울산ㆍ미포,조성중,"48,468 ","45,619 ","35,256 ","35,076 ","35,076 ",0 ,100 ,"1,112 ",738 ,"92,089 ","5,919 ","98,008 ","87,955,985 ","31,744,858 "
국가,울산,울주군,온산,조성중,"25,939 ","20,513 ","16,891 ","16,608 ","16,608 ",0 ,100 ,400 ,274 ,"14,515 ",983 ,"15,498 ","32,260,199 ","8,360,683 "
일반,울산,북구,매곡,완료,565 ,565 ,321 ,321 ,312 ,9 ,97 ,58 ,58 ,"1,245 ",428 ,"1,673 ","323,450 ","15,554 "
일반,울산,북구,모듈화,완료,863 ,863 ,493 ,493 ,493 ,0 ,100 ,32 ,30 ,"2,014 ",462 ,"2,476 ","616,900 ","21,774 "
일반,울산,북구,이화,조성중,694 ,694 ,305 ,305 ,305 ,0 ,100 ,1 ,1 ,,,,,
일반,울산,북구,중산,조성중,148 ,148 ,81 ,69 ,69 ,0 ,100 ,19 ,19 ,254 ,110 ,364 ,"166,000 ","3,542 "
일반,울산,울주군,길천,완료,"1,515 ","1,503 ",881 ,881 ,805 ,76 ,91 ,98 ,86 ,"1,593 ",557 ,"2,150 ","427,050 ","36,886 "
일반,울산,울주군,신 (① + ②),완료,"3,261 ","2,423 ","1,169 ","1,169 ","1,169 ",0 ,100 ,111 ,108 ,"2,977 ",439 ,"3,416 ","794,588 ","359,447 "
일반,울산,울주군,   신 ①,완료,"2,423 ","1,604 ",683 ,683 ,683 ,0 ,100 ,71 ,68 ,"1,887 ",228 ,"2,115 ","466,150 ","229,942 "
일반,울산,울주군,   울산(자유무역) ②,완료,838 ,819 ,486 ,486 ,486 ,0 ,100 ,40 ,40 ,"1,090 ",211 ,"1,301 ","328,438 ","129,505 "
일반,울산,울주군,와지,완료,126 ,125 ,99 ,99 ,99 ,0 ,100 ,25 ,25 ,214 ,69 ,283 ,"62,424 ","5,748 "
일반,울산,울주군,울산 High Tech Valley,조성중,"2,100 ","1,939 ","1,455 ",139 ,139 ,0 ,100 ,19 ,18 ,327 ,78 ,405 ,"6,462 ",0 
일반,울산,울주군,봉계,완료,255 ,255 ,174 ,174 ,174 ,0 ,100 ,10 ,9 ,392 ,58 ,450 ,"21,700 ",688 
일반,울산,울주군,KCC울산,완료,"1,222 ","1,165 ",856 ,856 ,819 ,37 ,96 ,49 ,40 ,773 ,444 ,"1,217 ","1,061,500 ","2,242 "
일반,울산,울주군,전읍,완료,72 ,72 ,52 ,52 ,52 ,0 ,100 ,4 ,4 ,76 ,6 ,82 ,"48,698 ","5,206 "
일반,울산,울주군,반천,완료,"1,373 ","1,373 ",853 ,853 ,853 ,0 ,100 ,83 ,69 ,"1,370 ",409 ,"1,779 ","650,800 ","8,014 "
일반,울산,울주군,작동,조성중,150 ,150 ,125 ,73 ,73 ,0 ,100 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
일반,울산,북구,중산2차,완료,365 ,365 ,223 ,223 ,223 ,0 ,100 ,42 ,39 ,638 ,252 ,890 ,"163,150 ","4,704 "
일반,울산,북구,매곡2,완료,77 ,77 ,45 ,45 ,45 ,0 ,100 ,11 ,10 ,75 ,95 ,170 ,"14,600 ",0 
일반,울산,북구,매곡3,완료,158 ,158 ,118 ,118 ,118 ,0 ,100 ,20 ,20 ,513 ,243 ,756 ,"110,400 ",474 
일반,울산,남구,울산테크노,완료,"1,287 ","1,287 ",669 ,669 ,669 ,0 ,100 ,150 ,143 ,"2,480 ",612 ,"3,092 ","23,676 ",4 
일반,울산,울주군,GW,완료,454 ,454 ,337 ,337 ,312 ,25 ,93 ,44 ,27 ,353 ,196 ,549 ,"68,400 ",16 
일반,울산,북구,모바일테크밸리,조성중,315 ,315 ,169 ,169 ,169 ,0 ,100 ,24 ,14 ,257 ,312 ,569 ,"46,000 ",0 
일반,울산,울주군,에너지융합,완료,"1,017 ","1,020 ",576 ,576 ,531 ,45 ,92 ,35 ,35 ,593 ,97 ,690 ,0 ,0 
일반,울산,울주군,청양,미개발,201 ,200 ,135 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
일반,울산,울주군,머거본,미개발,56 ,56 ,37 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
일반,울산,울주군,울산도하일반산업단지,미개발,423 ,423 ,163 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
일반,울산,울주군,울산KT역세권일반산업단지,미개발,421 ,421 ,125 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
일반,울산,울주군,대대일반산업단지,미개발,115 ,115 ,59 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
